,Position,Driver,Car,Lap,Time
2,1,Alain Prost,Williams Renault,41,1:51.095
0,2,Damon Hill,Williams Renault,40,1:51.212
5,3,Michael Schumacher,Benetton Ford,38,1:51.242
26,4,Mark Blundell,Ligier Renault,34,1:54.059
8,5,Ayrton Senna,McLaren Ford,34,1:54.185
7,6,Michael Andretti,McLaren Ford,33,1:54.614
28,7,Gerhard Berger,Ferrari,38,1:55.240
12,8,Johnny Herbert,Lotus Ford,37,1:55.334
30,9,Jyrki Jarvilehto,Sauber,33,1:55.475
25,10,Martin Brundle,Ligier Renault,40,1:55.478
6,11,Riccardo Patrese,Benetton Ford,34,1:55.681
29,12,Karl Wendlinger,Sauber,27,1:56.632
20,13,Erik Comas,Larrousse Lamborghini,34,1:57.134
19,14,Philippe Alliot,Larrousse Lamborghini,34,1:57.390
9,15,Derek Warwick,Footwork Mugen Honda,19,1:58.396
10,16,Aguri Suzuki,Footwork Mugen Honda,13,1:58.780
4,17,Andrea de Cesaris,Tyrrell Yamaha,24,1:58.866
22,18,Luca Badoer,Lola Ferrari,35,1:59.228
27,19,Jean Alesi,Ferrari,3,1:59.283
14,20,Rubens Barrichello,Jordan Hart,7,1:59.554
24,21,Pierluigi Martini,Minardi Ford,10,2:00.006
3,22,Ukyo Katayama,Tyrrell Yamaha,36,2:00.111
23,23,Christian Fittipaldi,Minardi Ford,14,2:00.292
21,24,Michele Alboreto,Lola Ferrari,31,2:00.927
