,Position,Driver,Car,Laps,Time,Points
0,1,Damon Hill,Williams Renault,44,1:24:32.124,10
5,2,Michael Schumacher,Benetton Ford,44,+3.668s,6
2,3,Alain Prost,Williams Renault,44,+14.988s,4
8,4,Ayrton Senna,McLaren Ford,44,+99.763s,3
12,5,Johnny Herbert,Lotus Ford,43,+1 lap,2
6,6,Riccardo Patrese,Benetton Ford,43,+1 lap,1
25,7,Martin Brundle,Ligier Renault,43,+1 lap,0
7,8,Michael Andretti,McLaren Ford,43,+1 lap,0
30,9,Jyrki Jarvilehto,Sauber,43,+1 lap,0
28,10,Gerhard Berger,Ferrari,42,DNF,0
26,11,Mark Blundell,Ligier Renault,42,DNF,0
19,12,Philippe Alliot,Larrousse Lamborghini,42,+2 laps,0
22,13,Luca Badoer,Lola Ferrari,42,+2 laps,0
21,14,Michele Alboreto,Lola Ferrari,41,+3 laps,0
3,15,Ukyo Katayama,Tyrrell Yamaha,40,+4 laps,0
20,NC,Erik Comas,Larrousse Lamborghini,37,DNF,0
9,NC,Derek Warwick,Footwork Mugen Honda,28,DNF,0
29,NC,Karl Wendlinger,Sauber,27,DNF,0
4,NC,Andrea de Cesaris,Tyrrell Yamaha,24,DNF,0
23,NC,Christian Fittipaldi,Minardi Ford,15,DNF,0
24,NC,Pierluigi Martini,Minardi Ford,15,DNF,0
10,NC,Aguri Suzuki,Footwork Mugen Honda,14,DNF,0
14,NC,Rubens Barrichello,Jordan Hart,11,DNF,0
27,NC,Jean Alesi,Ferrari,4,DNF,0
