,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:49.460
5,2,Michael Schumacher,Benetton Ford,+0.684s
10,3,Aguri Suzuki,Footwork Mugen Honda,+1.223s
0,4,Damon Hill,Williams Renault,+1.358s
8,5,Ayrton Senna,McLaren Ford,+1.734s
29,6,Karl Wendlinger,Sauber,+2.250s
9,7,Derek Warwick,Footwork Mugen Honda,+2.454s
27,8,Jean Alesi,Ferrari,+2.500s
26,9,Mark Blundell,Ligier Renault,+2.524s
30,10,Jyrki Jarvilehto,Sauber,+2.554s
4,11,Andrea de Cesaris,Tyrrell Yamaha,+2.556s
6,12,Riccardo Patrese,Benetton Ford,+2.872s
25,13,Martin Brundle,Ligier Renault,+2.910s
12,14,Johnny Herbert,Lotus Ford,+2.998s
28,15,Gerhard Berger,Ferrari,+3.670s
7,16,Michael Andretti,McLaren Ford,+4.235s
20,17,Erik Comas,Larrousse Lamborghini,+4.544s
24,18,Pierluigi Martini,Minardi Ford,+4.590s
19,19,Philippe Alliot,Larrousse Lamborghini,+4.627s
14,20,Rubens Barrichello,Jordan Hart,+5.402s
23,21,Christian Fittipaldi,Minardi Ford,+5.576s
15,22,Thierry Boutsen,Jordan Hart,+5.693s
3,23,Ukyo Katayama,Tyrrell Yamaha,+5.749s
22,24,Luca Badoer,Lola Ferrari,+6.412s
21,25,Michele Alboreto,Lola Ferrari,+7.640s
