,Position,Driver,Car,Time
2,1,Alain Prost,Williams Renault,1:47.571
0,2,Damon Hill,Williams Renault,1:48.466
5,3,Michael Schumacher,Benetton Ford,1:49.075
27,4,Jean Alesi,Ferrari,1:49.825
8,5,Ayrton Senna,McLaren Ford,1:49.934
10,6,Aguri Suzuki,Footwork Mugen Honda,1:50.329
9,7,Derek Warwick,Footwork Mugen Honda,1:50.628
6,8,Riccardo Patrese,Benetton Ford,1:51.017
30,9,Jyrki Jarvilehto,Sauber,1:51.048
12,10,Johnny Herbert,Lotus Ford,1:51.139
25,11,Martin Brundle,Ligier Renault,1:51.350
29,12,Karl Wendlinger,Sauber,1:51.440
14,13,Rubens Barrichello,Jordan Hart,1:51.711
7,14,Michael Andretti,McLaren Ford,1:51.833
26,15,Mark Blundell,Ligier Renault,1:51.916
28,16,Gerhard Berger,Ferrari,1:52.080
4,17,Andrea de Cesaris,Tyrrell Yamaha,1:52.647
19,18,Philippe Alliot,Larrousse Lamborghini,1:52.907
20,19,Erik Comas,Larrousse Lamborghini,1:53.186
15,20,Thierry Boutsen,Jordan Hart,1:53.465
24,21,Pierluigi Martini,Minardi Ford,1:53.526
23,22,Christian Fittipaldi,Minardi Ford,1:53.942
3,23,Ukyo Katayama,Tyrrell Yamaha,1:54.551
22,24,Luca Badoer,Lola Ferrari,1:54.978
21,25,Michele Alboreto,Lola Ferrari,1:55.965
