,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:49.504
0,2,Damon Hill,Williams Renault,+2.298s
8,3,Ayrton Senna,McLaren Ford,+3.244s
5,4,Michael Schumacher,Benetton Ford,+3.427s
10,5,Aguri Suzuki,Footwork Mugen Honda,+4.140s
27,6,Jean Alesi,Ferrari,+4.254s
9,7,Derek Warwick,Footwork Mugen Honda,+5.188s
26,8,Mark Blundell,Ligier Renault,+5.250s
14,9,Rubens Barrichello,Jordan Hart,+5.392s
28,10,Gerhard Berger,Ferrari,+5.472s
25,11,Martin Brundle,Ligier Renault,+5.476s
7,12,Michael Andretti,McLaren Ford,+5.552s
6,13,Riccardo Patrese,Benetton Ford,+5.753s
4,14,Andrea de Cesaris,Tyrrell Yamaha,+5.830s
12,15,Johnny Herbert,Lotus Ford,+5.933s
30,16,Jyrki Jarvilehto,Sauber,+6.035s
29,17,Karl Wendlinger,Sauber,+6.080s
24,18,Pierluigi Martini,Minardi Ford,+6.500s
19,19,Philippe Alliot,Larrousse Lamborghini,+7.459s
15,20,Thierry Boutsen,Jordan Hart,+7.877s
3,21,Ukyo Katayama,Tyrrell Yamaha,+8.222s
20,22,Erik Comas,Larrousse Lamborghini,+8.355s
23,23,Christian Fittipaldi,Minardi Ford,+8.475s
22,24,Luca Badoer,Lola Ferrari,+8.768s
21,25,Michele Alboreto,Lola Ferrari,+9.073s
11,26,Alessandro Zanardi,Lotus Ford,+15.684s
