,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Kimi Räikkönen,Ferrari,46,1:21.670,205.191
2,2,Felipe Massa,Ferrari,45,1:21.801,204.863
22,3,Lewis Hamilton,McLaren Mercedes,20,1:22.017,204.323
4,4,Robert Kubica,Sauber BMW,20,1:22.106,204.102
16,5,Jenson Button,Honda,66,1:22.353,203.489
23,6,Heikki Kovalainen,McLaren Mercedes,19,1:22.453,203.243
3,7,Nick Heidfeld,Sauber BMW,21,1:22.519,203.080
10,8,Mark Webber,Red Bull Renault,19,1:22.564,202.969
5,9,Fernando Alonso,Renault,15,1:22.683,202.677
11,10,Jarno Trulli,Toyota,45,1:22.758,202.494
9,11,David Coulthard,Red Bull Renault,57,1:22.842,202.288
12,12,Timo Glock,Toyota,57,1:23.007,201.886
7,13,Nico Rosberg,Williams Toyota,20,1:23.319,201.130
21,14,Giancarlo Fisichella,Force India Ferrari,40,1:23.439,200.841
8,15,Kazuki Nakajima,Williams Toyota,48,1:23.549,200.576
17,16,Rubens Barrichello,Honda,21,1:23.858,199.837
18,17,Takuma Sato,Super Aguri Honda,34,1:24.617,198.045
6,18,Nelson Piquet,Renault,6,1:25.444,196.128
14,19,Sebastien Bourdais,STR Ferrari,6,1:25.999,194.862
19,20,Anthony Davidson,Super Aguri Honda,6,1:26.864,192.922
