,Position,Driver,Car,Time,Laps
16,1,Rubens Barrichello,Stewart Ford,1:38.441,5
11,2,Jean Alesi,Sauber Petronas,1:38.881,6
18,3,Olivier Panis,Prost Peugeot,1:40.400,5
2,4,David Coulthard,McLaren Mercedes,1:40.403,11
8,5,Heinz-Harald Frentzen,Jordan Mugen Honda,1:40.690,10
3,6,Michael Schumacher,Ferrari,1:41.127,10
9,7,Giancarlo Fisichella,Benetton Playlife,1:41.825,9
19,8,Jarno Trulli,Prost Peugeot,1:42.096,8
17,9,Johnny Herbert,Stewart Ford,1:42.199,7
23,10,Ricardo Zonta,BAR Supertec,1:42.228,9
12,11,Pedro Diniz,Sauber Petronas,1:42.942,8
22,12,Jacques Villeneuve,BAR Supertec,1:43.748,10
10,13,Alexander Wurz,Benetton Playlife,1:44.319,10
1,14,Mika Hakkinen,McLaren Mercedes,1:44.368,8
5,15,Alessandro Zanardi,Williams Supertec,1:44.912,11
6,16,Ralf Schumacher,Williams Supertec,1:45.189,9
4,17,Eddie Irvine,Ferrari,1:45.218,7
7,NC,Damon Hill,Jordan Mugen Honda,1:45.334,10
21,NC,Marc Gene,Minardi Ford,1:46.324,10
20,NC,Luca Badoer,Minardi Ford,1:46.784,8
14,NC,Pedro de la Rosa,Arrows,1:48.215,9
15,NC,Toranosuke Takagi,Arrows,1:48.322,10
