,Position,Driver,Car,Lap,Time,Avg Speed
2,1,David Coulthard,McLaren Mercedes,8,1:19.227,193.115
1,2,Mika Hakkinen,McLaren Mercedes,20,1:19.758,191.830
6,3,Ralf Schumacher,Williams Supertec,19,1:20.313,190.504
4,4,Eddie Irvine,Ferrari,17,1:20.328,190.469
11,5,Jean Alesi,Sauber Petronas,17,1:20.848,189.244
16,6,Rubens Barrichello,Stewart Ford,4,1:20.878,189.173
23,7,Ricardo Zonta,BAR Supertec,19,1:20.881,189.166
8,8,Heinz-Harald Frentzen,Jordan Mugen Honda,17,1:20.994,188.902
3,9,Michael Schumacher,Ferrari,12,1:21.014,188.856
19,10,Jarno Trulli,Prost Peugeot,15,1:21.330,188.122
18,11,Olivier Panis,Prost Peugeot,20,1:21.403,187.953
10,12,Alexander Wurz,Benetton Playlife,19,1:21.409,187.939
9,13,Giancarlo Fisichella,Benetton Playlife,19,1:21.423,187.907
22,14,Jacques Villeneuve,BAR Supertec,18,1:21.461,187.819
5,15,Alessandro Zanardi,Williams Supertec,19,1:21.983,186.624
7,16,Damon Hill,Jordan Mugen Honda,19,1:22.021,186.537
14,17,Pedro de la Rosa,Arrows,19,1:22.535,185.375
12,18,Pedro Diniz,Sauber Petronas,3,1:22.629,185.165
15,19,Toranosuke Takagi,Arrows,19,1:22.664,185.086
21,20,Marc Gene,Minardi Ford,13,1:22.844,184.684
20,21,Luca Badoer,Minardi Ford,16,1:22.900,184.559
17,22,Johnny Herbert,Stewart Ford,3,1:25.608,178.721
