,Position,Driver,Car,Lap,Time,Avg Speed
8,1,Fernando Alonso,Ferrari,52,1:30.874,233.373
7,2,Felipe Massa,Ferrari,52,1:31.646,231.407
5,3,Sebastian Vettel,RBR Renault,52,1:31.967,230.600
6,4,Mark Webber,RBR Renault,45,1:32.364,229.608
12,5,Vitaly Petrov,Renault,52,1:32.484,229.311
2,6,Lewis Hamilton,McLaren Mercedes,43,1:32.758,228.633
4,7,Nico Rosberg,Mercedes,50,1:32.952,228.156
16,8,Sebastien Buemi,STR Ferrari,52,1:32.980,228.087
1,9,Jenson Button,McLaren Mercedes,52,1:33.003,228.031
23,10,Kamui Kobayashi,Sauber Ferrari,52,1:33.558,226.678
9,11,Rubens Barrichello,Williams Cosworth,50,1:33.615,226.540
17,12,Jaime Alguersuari,STR Ferrari,43,1:33.748,226.219
10,13,Nico Hulkenberg,Williams Cosworth,48,1:33.989,225.639
15,14,Vitantonio Liuzzi,Force India Mercedes,51,1:34.018,225.569
3,15,Michael Schumacher,Mercedes,47,1:34.171,225.203
14,16,Adrian Sutil,Force India Mercedes,42,1:34.337,224.806
22,17,Pedro de la Rosa,Sauber Ferrari,23,1:35.883,221.182
19,18,Heikki Kovalainen,Lotus Cosworth,48,1:36.251,220.336
24,19,Timo Glock,Virgin Cosworth,49,1:36.415,219.961
18,20,Jarno Trulli,Lotus Cosworth,44,1:36.519,219.724
11,21,Robert Kubica,Renault,12,1:36.846,218.982
21,22,Sakon Yamamoto,HRT Cosworth,50,1:38.309,215.723
20,23,Karun Chandhok,HRT Cosworth,40,1:38.798,214.656
25,24,Lucas di Grassi,Virgin Cosworth,7,1:40.641,210.725
