,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Lewis Hamilton,McLaren Mercedes,52,1:26.727,193.227
11,2,Rubens Barrichello,Williams Cosworth,60,1:26.891,192.862
9,3,Nick Heidfeld,Renault,61,1:26.958,192.713
1,4,Sebastian Vettel,Red Bull Racing Renault,60,1:27.162,192.262
2,5,Mark Webber,Red Bull Racing Renault,50,1:27.187,192.207
17,6,Sergio Perez,Sauber Ferrari,55,1:27.247,192.075
4,7,Jenson Button,McLaren Mercedes,63,1:27.518,191.480
16,8,Kamui Kobayashi,Sauber Ferrari,52,1:27.615,191.268
5,9,Fernando Alonso,Ferrari,22,1:28.737,188.850
14,10,Adrian Sutil,Force India Mercedes,52,1:28.791,188.735
6,11,Felipe Massa,Ferrari,24,1:29.081,188.120
19,12,Jaime Alguersuari,STR Ferrari,52,1:29.132,188.013
8,13,Nico Rosberg,Mercedes,34,1:29.155,187.964
12,14,Pastor Maldonado,Williams Cosworth,64,1:29.391,187.468
7,15,Michael Schumacher,Mercedes,34,1:29.463,187.317
15,16,Paul di Resta,Force India Mercedes,42,1:29.469,187.305
10,17,Vitaly Petrov,Renault,35,1:29.592,187.047
18,18,Sebastien Buemi,STR Ferrari,27,1:30.049,186.098
20,19,Heikki Kovalainen,Lotus Renault,34,1:30.618,184.930
21,20,Jarno Trulli,Lotus Renault,34,1:30.783,184.594
24,21,Timo Glock,Virgin Cosworth,40,1:31.635,182.877
25,22,Jerome d'Ambrosio,Virgin Cosworth,36,1:32.549,181.071
22,23,Narain Karthikeyan,HRT Cosworth,33,1:32.848,180.488
23,24,Vitantonio Liuzzi,HRT Cosworth,22,1:33.884,178.496
