,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,2:10.507
27,2,Nigel Mansell,Ferrari,+0.359s
28,3,Gerhard Berger,Ferrari,+0.663s
25,4,Rene Arnoux,Ligier Ford,+2.082s
36,5,Stefan Johansson,Onyx Ford,+3.106s
11,6,Nelson Piquet,Lotus Judd,+3.144s
10,7,Eddie  Cheever,Arrows Ford,+3.375s
2,8,Alain Prost,McLaren Honda,+3.739s
19,9,Alessandro Nannini,Benetton Ford,+3.805s
29,10,Michele Alboreto,Lola Lamborghini,+3.927s
12,11,Satoru Nakajima,Lotus Judd,+3.995s
5,12,Thierry Boutsen,Williams Renault,+4.040s
30,13,Philippe Alliot,Lola Lamborghini,+4.155s
6,14,Riccardo Patrese,Williams Renault,+4.490s
9,15,Derek Warwick,Arrows Ford,+4.847s
20,16,Emanuele Pirro,Benetton Ford,+5.684s
23,17,Pierluigi Martini,Minardi Ford,+5.975s
3,18,Jonathan  Palmer,Tyrrell Ford,+6.996s
22,19,Andrea de Cesaris,Dallara Ford,+7.073s
7,20,Martin Brundle,Brabham Judd,+7.082s
21,21,Alex Caffi,Dallara Ford,+7.240s
16,22,Ivan Capelli,March Judd,+7.243s
38,23,Christian Danner,Rial Ford,+7.309s
39,24,Pierre Henri Raphanel,Rial Ford,+7.601s
24,25,Luis Perez-Sala,Minardi Ford,+7.878s
8,26,Stefano Modena,Brabham Judd,+8.168s
26,27,Olivier Grouillard,Ligier Ford,+8.333s
4,28,Johnny Herbert,Tyrrell Ford,+9.300s
37,29,Bertrand Gachot,Onyx Ford,+9.448s
15,30,Mauricio Gugelmin,March Judd,+10.614s
