,Position,Driver,Car,Lap,Time
2,1,Alain Prost,McLaren Honda,44,2:11.571
27,2,Nigel Mansell,Ferrari,44,2:11.736
23,3,Pierluigi Martini,Minardi Ford,40,2:12.101
1,4,Ayrton Senna,McLaren Honda,42,2:12.890
22,5,Andrea de Cesaris,Dallara Ford,32,2:13.176
5,6,Thierry Boutsen,Williams Renault,39,2:13.842
9,7,Derek Warwick,Arrows Ford,42,2:14.106
19,8,Alessandro Nannini,Benetton Ford,43,2:14.399
30,9,Philippe Alliot,Lola Lamborghini,37,2:14.675
16,10,Ivan Capelli,March Judd,37,2:15.701
20,11,Emanuele Pirro,Benetton Ford,41,2:15.868
10,12,Eddie  Cheever,Arrows Ford,36,2:16.727
26,13,Olivier Grouillard,Ligier Ford,42,2:17.253
36,14,Stefan Johansson,Onyx Ford,42,2:17.294
15,15,Mauricio Gugelmin,March Judd,31,2:17.411
6,16,Riccardo Patrese,Williams Renault,16,2:18.273
28,17,Gerhard Berger,Ferrari,6,2:18.865
37,18,Bertrand Gachot,Onyx Ford,19,2:19.405
3,19,Jonathan  Palmer,Tyrrell Ford,40,2:19.772
29,20,Michele Alboreto,Lola Lamborghini,18,2:21.323
24,21,Luis Perez-Sala,Minardi Ford,39,2:22.222
21,22,Alex Caffi,Dallara Ford,12,2:22.790
4,23,Johnny Herbert,Tyrrell Ford,3,2:26.020
25,24,Rene Arnoux,Ligier Ford,3,2:26.022
7,25,Martin Brundle,Brabham Judd,5,2:27.325
8,26,Stefano Modena,Brabham Judd,3,2:31.976
