,Position,Driver,Car,Time / Gap
2,1,Alain Prost,McLaren Honda,1:52.532
1,2,Ayrton Senna,McLaren Honda,+0.289s
5,3,Thierry Boutsen,Williams Renault,+1.231s
27,4,Nigel Mansell,Ferrari,+1.496s
6,5,Riccardo Patrese,Williams Renault,+2.090s
28,6,Gerhard Berger,Ferrari,+2.605s
30,7,Philippe Alliot,Lola Lamborghini,+2.937s
4,8,Johnny Herbert,Tyrrell Ford,+3.318s
7,9,Martin Brundle,Brabham Judd,+3.726s
11,10,Nelson Piquet,Lotus Judd,+3.774s
15,11,Mauricio Gugelmin,March Judd,+3.858s
22,12,Andrea de Cesaris,Dallara Ford,+4.018s
36,13,Stefan Johansson,Onyx Ford,+4.118s
24,14,Luis Perez-Sala,Minardi Ford,+4.132s
19,15,Alessandro Nannini,Benetton Ford,+4.196s
23,16,Pierluigi Martini,Minardi Ford,+4.246s
26,17,Olivier Grouillard,Ligier Ford,+4.253s
25,18,Rene Arnoux,Ligier Ford,+4.284s
8,19,Stefano Modena,Brabham Judd,+4.521s
29,20,Michele Alboreto,Lola Lamborghini,+4.653s
9,21,Derek Warwick,Arrows Ford,+4.701s
3,22,Jonathan  Palmer,Tyrrell Ford,+5.200s
21,23,Alex Caffi,Dallara Ford,+5.313s
10,24,Eddie  Cheever,Arrows Ford,+6.108s
20,25,Emanuele Pirro,Benetton Ford,+6.179s
16,26,Ivan Capelli,March Judd,+6.207s
12,27,Satoru Nakajima,Lotus Judd,+6.235s
37,28,Bertrand Gachot,Onyx Ford,+7.300s
38,29,Christian Danner,Rial Ford,+8.723s
39,30,Pierre Henri Raphanel,Rial Ford,+10.872s
