,Position,Driver,Car,Laps,Time,Points
5,1,Michael Schumacher,Benetton Ford,69,1:44:31.887,10
0,2,Damon Hill,Williams Renault,69,+39.660s,6
27,3,Jean Alesi,Ferrari,69,+73.388s,4
28,4,Gerhard Berger,Ferrari,69,+75.609s,3
2,5,David Coulthard,Williams Renault,68,+1 lap,2
6,6,Jyrki Jarvilehto,Benetton Ford,68,+1 lap,1
14,7,Rubens Barrichello,Jordan Hart,68,+1 lap,0
12,8,Johnny Herbert,Lotus Mugen Honda,68,+1 lap,0
23,9,Pierluigi Martini,Minardi Ford,68,+1 lap,0
4,10,Mark Blundell,Tyrrell Yamaha,67,DNF,0
24,11,Michele Alboreto,Minardi Ford,67,+2 laps,0
26,12,Olivier Panis,Ligier Renault,67,+2 laps,0
25,13,Eric Bernard,Ligier Renault,66,+3 laps,0
31,14,David Brabham,Simtek Ford,65,+4 laps,0
11,15,Alessandro Zanardi,Lotus Mugen Honda,62,DNF,0
7,NC,Mika Hakkinen,McLaren Peugeot,61,DNF,0
19,NC,Olivier Beretta,Larrousse Ford,57,DNF,0
10,NC,Gianni Morbidelli,Footwork Ford,50,DNF,0
34,NC,Bertrand Gachot,Pacific Ilmor,47,DNF,0
20,NC,Erik Comas,Larrousse Ford,45,DNF,0
3,NC,Ukyo Katayama,Tyrrell Yamaha,44,DNF,0
15,NC,Eddie Irvine,Jordan Hart,40,DNF,0
29,NC,Andrea de Cesaris,Sauber Mercedes,24,DNF,0
30,NC,Heinz-Harald Frentzen,Sauber Mercedes,5,DNF,0
8,NC,Martin Brundle,McLaren Peugeot,3,DNF,0
