,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,31,1:28.927
0,2,Damon Hill,Williams Renault,56,1:28.962
28,3,Gerhard Berger,Ferrari,58,1:29.142
27,4,Jean Alesi,Ferrari,58,1:29.260
4,5,Mark Blundell,Tyrrell Yamaha,54,1:29.369
7,6,Mika Hakkinen,McLaren Peugeot,34,1:29.512
10,7,Gianni Morbidelli,Footwork Ford,39,1:29.698
14,8,Rubens Barrichello,Jordan Hart,65,1:29.757
2,9,David Coulthard,Williams Renault,55,1:29.966
3,10,Ukyo Katayama,Tyrrell Yamaha,31,1:30.079
20,11,Erik Comas,Larrousse Ford,11,1:30.194
6,12,Jyrki Jarvilehto,Benetton Ford,33,1:30.374
15,13,Eddie Irvine,Jordan Hart,21,1:30.626
9,14,Christian Fittipaldi,Footwork Ford,58,1:30.700
30,15,Heinz-Harald Frentzen,Sauber Mercedes,4,1:30.796
12,16,Johnny Herbert,Lotus Mugen Honda,14,1:30.865
26,17,Olivier Panis,Ligier Renault,65,1:31.109
29,18,Andrea de Cesaris,Sauber Mercedes,19,1:31.187
24,19,Michele Alboreto,Minardi Ford,66,1:31.221
19,20,Olivier Beretta,Larrousse Ford,21,1:31.451
23,21,Pierluigi Martini,Minardi Ford,66,1:31.587
11,22,Alessandro Zanardi,Lotus Mugen Honda,6,1:31.588
25,23,Eric Bernard,Ligier Renault,6,1:31.703
8,24,Martin Brundle,McLaren Peugeot,3,1:31.759
31,25,David Brabham,Simtek Ford,6,1:31.840
34,26,Bertrand Gachot,Pacific Ilmor,6,1:32.041
