,Position,Driver,Car,Q1,Q2,Q3,Laps
2,1,Felipe Massa,Ferrari,1:25.994,1:26.192,1:27.617,16
23,2,Heikki Kovalainen,McLaren Mercedes,1:26.736,1:26.290,1:27.808,16
22,3,Lewis Hamilton,McLaren Mercedes,1:26.192,1:26.477,1:27.923,15
1,4,Kimi Räikkönen,Ferrari,1:26.457,1:26.050,1:27.936,17
4,5,Robert Kubica,Sauber BMW,1:26.761,1:26.129,1:28.390,17
10,6,Mark Webber,Red Bull Renault,1:26.773,1:26.466,1:28.417,17
5,7,Fernando Alonso,Renault,1:26.836,1:26.522,1:28.422,18
11,8,Jarno Trulli,Toyota,1:26.695,1:26.822,1:28.836,20
3,9,Nick Heidfeld,Sauber BMW,1:27.107,1:26.607,1:28.882,20
9,10,David Coulthard,Red Bull Renault,1:26.939,1:26.520,1:29.959,16
7,11,Nico Rosberg,Williams Toyota,1:27.367,1:27.012,,13
17,12,Rubens Barrichello,Honda,1:27.355,1:27.219,,13
16,13,Jenson Button,Honda,1:27.428,1:27.298,,14
15,14,Sebastian Vettel,STR Ferrari,1:27.442,1:27.412,,15
12,15,Timo Glock,Toyota,1:26.614,1:27.806,,15
8,16,Kazuki Nakajima,Williams Toyota,1:27.547,,,9
6,17,Nelson Piquet,Renault,1:27.568,,,7
14,18,Sebastien Bourdais,STR Ferrari,1:27.621,,,8
21,19,Giancarlo Fisichella,Force India Ferrari,1:27.807,,,10
20,20,Adrian Sutil,Force India Ferrari,1:28.325,,,9
