,Position,Driver,Car,Time
2,1,Felipe Massa,Ferrari,1:27.617
23,2,Heikki Kovalainen,McLaren Mercedes,1:27.808
22,3,Lewis Hamilton,McLaren Mercedes,1:27.923
1,4,Kimi Räikkönen,Ferrari,1:27.936
4,5,Robert Kubica,Sauber BMW,1:28.390
10,6,Mark Webber,Red Bull Renault,1:28.417
5,7,Fernando Alonso,Renault,1:28.422
11,8,Jarno Trulli,Toyota,1:28.836
3,9,Nick Heidfeld,Sauber BMW,1:28.882
9,10,David Coulthard,Red Bull Renault,1:29.959
7,11,Nico Rosberg,Williams Toyota,1:27.012
17,12,Rubens Barrichello,Honda,1:27.219
16,13,Jenson Button,Honda,1:27.298
15,14,Sebastian Vettel,STR Ferrari,1:27.412
12,15,Timo Glock,Toyota,1:27.806
8,16,Kazuki Nakajima,Williams Toyota,1:27.547
6,17,Nelson Piquet,Renault,1:27.568
14,18,Sebastien Bourdais,STR Ferrari,1:27.621
20,19,Adrian Sutil,Force India Ferrari,1:28.325
21,20,Giancarlo Fisichella,Force India Ferrari,1:27.807
