,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Kimi Räikkönen,Ferrari,20,1:26.506,222.144
22,2,Lewis Hamilton,McLaren Mercedes,31,1:26.529,222.085
2,3,Felipe Massa,Ferrari,16,1:26.666,221.734
4,4,Robert Kubica,Sauber BMW,17,1:26.780,221.442
3,5,Nick Heidfeld,Sauber BMW,20,1:27.219,220.328
5,6,Fernando Alonso,Renault,57,1:27.280,220.174
10,7,Mark Webber,Red Bull Renault,14,1:27.630,219.294
23,8,Heikki Kovalainen,McLaren Mercedes,55,1:27.640,219.269
7,9,Nico Rosberg,Williams Toyota,55,1:27.795,218.882
6,10,Nelson Piquet,Renault,40,1:27.867,218.703
11,11,Jarno Trulli,Toyota,52,1:27.926,218.556
9,12,David Coulthard,Red Bull Renault,41,1:27.966,218.457
16,13,Jenson Button,Honda,57,1:27.998,218.377
17,14,Rubens Barrichello,Honda,56,1:28.017,218.330
15,15,Sebastian Vettel,STR Ferrari,38,1:28.180,217.926
12,16,Timo Glock,Toyota,28,1:28.303,217.623
14,17,Sebastien Bourdais,STR Ferrari,19,1:28.745,216.539
20,18,Adrian Sutil,Force India Ferrari,35,1:28.780,216.454
