,Position,Driver,Car,Time
12,1,Niki Lauda,Ferrari,1:16.580
18,2,Carlos Pace,Surtees Ford,1:16.630
20,3,Arturo Merzario,Iso Marlboro Ford,1:16.790
7,4,Carlos Reutemann,Brabham Ford,1:16.800
5,5,Emerson Fittipaldi,McLaren Ford,1:16.820
11,6,Clay Regazzoni,Ferrari,1:16.850
9,7,Hans-Joachim Stuck,March Ford,1:16.980
3,8,Jody Scheckter,Tyrrell Ford,1:16.990
6,9,Denny Hulme,McLaren Ford,1:17.110
2,10,Jacky Ickx,Lotus Ford,1:17.180
14,11,Jean-Pierre Beltoise,BRM,1:17.340
33,12,Mike Hailwood,McLaren Ford,1:17.340
28,13,John Watson,Brabham Ford,1:17.390
24,14,James Hunt,March Ford,1:17.410
4,15,Patrick Depailler,Tyrrell Ford,1:17.750
1,16,Ronnie Peterson,Lotus Ford,1:18.000
19,17,Jochen Mass,Surtees Ford,1:18.230
26,18,Graham Hill,Lola Ford,1:18.250
10,19,Vittorio Brambilla,March Ford,1:18.290
23,20,Dave Charlton,McLaren Ford,1:18.370
15,21,Henri Pescarolo,BRM,1:18.390
29,22,Ian Scheckter,Lotus Ford,1:18.560
8,23,Richard   Robarts,Brabham Ford,1:18.600
32,24,Eddie  Keizan,Tyrrell Ford,1:19.000
37,25,Francois  Migault,BRM,1:19.140
30,26,Paddy Driver,Lotus Ford,1:19.490
21,27,Tom  Belso,Iso Marlboro Ford,1:19.800
