,Position,Driver,Car,Time,Laps
3,1,Michael Schumacher,Ferrari,1:37.470,11
1,2,Mika Hakkinen,McLaren Mercedes,1:37.820,9
2,3,David Coulthard,McLaren Mercedes,1:38.239,12
8,4,Heinz-Harald Frentzen,Jordan Mugen Honda,1:38.696,12
4,5,Eddie Irvine,Ferrari,1:38.975,11
18,6,Olivier Panis,Prost Peugeot,1:39.623,11
19,7,Jarno Trulli,Prost Peugeot,1:39.644,12
17,8,Johnny Herbert,Stewart Ford,1:39.706,12
6,9,Ralf Schumacher,Williams Supertec,1:39.717,11
11,10,Jean Alesi,Sauber Petronas,1:39.721,10
22,11,Jacques Villeneuve,BAR Supertec,1:39.732,12
7,12,Damon Hill,Jordan Mugen Honda,1:40.140,12
16,13,Rubens Barrichello,Stewart Ford,1:40.140,11
9,14,Giancarlo Fisichella,Benetton Playlife,1:40.261,10
10,15,Alexander Wurz,Benetton Playlife,1:40.303,12
5,16,Alessandro Zanardi,Williams Supertec,1:40.403,12
12,17,Pedro Diniz,Sauber Petronas,1:40.740,11
23,18,Ricardo Zonta,BAR Supertec,1:40.861,11
15,19,Toranosuke Takagi,Arrows,1:41.067,11
21,20,Marc Gene,Minardi Ford,1:41.529,12
14,21,Pedro de la Rosa,Arrows,1:41.708,11
20,22,Luca Badoer,Minardi Ford,1:42.515,8
