,Position,Driver,Car,Time
3,1,Michael Schumacher,Ferrari,1:37.470
1,2,Mika Hakkinen,McLaren Mercedes,1:37.820
2,3,David Coulthard,McLaren Mercedes,1:38.239
8,4,Heinz-Harald Frentzen,Jordan Mugen Honda,1:38.696
4,5,Eddie Irvine,Ferrari,1:38.975
18,6,Olivier Panis,Prost Peugeot,1:39.623
19,7,Jarno Trulli,Prost Peugeot,1:39.644
17,8,Johnny Herbert,Stewart Ford,1:39.706
6,9,Ralf Schumacher,Williams Supertec,1:39.717
11,10,Jean Alesi,Sauber Petronas,1:39.721
22,11,Jacques Villeneuve,BAR Supertec,1:39.732
7,12,Damon Hill,Jordan Mugen Honda,1:40.140
16,13,Rubens Barrichello,Stewart Ford,1:40.140
9,14,Giancarlo Fisichella,Benetton Playlife,1:40.261
10,15,Alexander Wurz,Benetton Playlife,1:40.303
5,16,Alessandro Zanardi,Williams Supertec,1:40.403
12,17,Pedro Diniz,Sauber Petronas,1:40.740
23,18,Ricardo Zonta,BAR Supertec,1:40.861
15,19,Toranosuke Takagi,Arrows,1:41.067
21,20,Marc Gene,Minardi Ford,1:41.529
14,21,Pedro de la Rosa,Arrows,1:41.708
20,22,Luca Badoer,Minardi Ford,1:42.515
