,Position,Driver,Car,Time
1,1,Lewis Hamilton,McLaren Mercedes,1:47.891
15,2,Sebastian Vettel,RBR Renault,1:48.204
16,3,Nico Rosberg,Williams Toyota,1:48.348
14,4,Mark Webber,RBR Renault,1:48.722
7,5,Fernando Alonso,Renault,1:49.054
10,6,Timo Glock,Toyota,1:49.180
5,7,Robert Kubica,Sauber BMW,1:49.514
2,8,Heikki Kovalainen,McLaren Mercedes,1:49.778
23,9,Rubens Barrichello,Brawn Mercedes,1:48.828
17,10,Kazuki Nakajima,Williams Toyota,1:47.013
22,11,Jenson Button,Brawn Mercedes,1:47.141
4,12,Kimi Räikkönen,Ferrari,1:47.177
12,13,Sebastien Buemi,STR Ferrari,1:47.369
9,14,Jarno Trulli,Toyota,1:47.413
20,15,Adrian Sutil,Force India Mercedes,1:48.231
11,16,Jaime Alguersuari,STR Ferrari,1:48.340
3,17,Giancarlo Fisichella,Ferrari,1:48.350
8,18,Romain Grosjean,Renault,1:48.544
21,19,Vitantonio Liuzzi,Force India Mercedes,1:48.792
