,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
10,1,Pierre Gasly,Red Bull Racing Honda,55,1:34.742,207.126,15:45:26
5,2,Sebastian Vettel,Ferrari,37,1:34.836,206.921,15:15:12
16,3,Charles Leclerc,Ferrari,45,1:34.860,206.869,15:28:28
77,4,Valtteri Bottas,Mercedes,38,1:34.872,206.842,15:16:43
44,5,Lewis Hamilton,Mercedes,47,1:35.892,204.642,15:31:05
33,6,Max Verstappen,Red Bull Racing Honda,45,1:36.143,204.108,15:28:15
18,7,Lance Stroll,Racing Point BWT Mercedes,46,1:36.678,202.978,15:31:31
8,8,Romain Grosjean,Haas Ferrari,37,1:36.873,202.570,15:16:33
63,9,George Russell,Williams Mercedes,51,1:37.283,201.716,15:41:03
20,10,Kevin Magnussen,Haas Ferrari,35,1:37.471,201.327,15:13:21
55,11,Carlos Sainz,McLaren Renault,44,1:37.502,201.263,15:28:26
7,12,Kimi Räikkönen,Alfa Romeo Racing Ferrari,27,1:37.812,200.625,14:59:33
26,13,Daniil Kvyat,Scuderia Toro Rosso Honda,27,1:37.975,200.291,14:59:59
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,32,1:38.048,200.142,15:08:32
4,15,Lando Norris,McLaren Renault,37,1:38.346,199.536,15:17:39
3,16,Daniel Ricciardo,Renault,38,1:38.632,198.957,15:17:36
11,17,Sergio Perez,Racing Point BWT Mercedes,37,1:38.702,198.816,15:15:58
23,18,Alexander Albon,Scuderia Toro Rosso Honda,22,1:38.901,198.416,14:51:20
27,19,Nico Hulkenberg,Renault,14,1:39.677,196.871,14:37:47
88,20,Robert Kubica,Williams Mercedes,28,1:39.772,196.684,15:02:22
