,Position,Driver,Car,Time / Gap,Laps
8,1,Nico Rosberg,Mercedes,1:36.877,16
1,2,Sebastian Vettel,Red Bull Racing Renault,+0.443s,15
2,3,Mark Webber,Red Bull Racing Renault,+0.461s,12
9,4,Kimi Räikkönen,Lotus Renault,+0.479s,13
10,5,Romain Grosjean,Lotus Renault,+0.505s,13
3,6,Jenson Button,McLaren Mercedes,+0.527s,12
18,7,Pastor Maldonado,Williams Renault,+0.578s,13
7,8,Michael Schumacher,Mercedes,+0.786s,15
4,9,Lewis Hamilton,McLaren Mercedes,+0.899s,8
14,10,Kamui Kobayashi,Sauber Ferrari,+1.100s,17
19,11,Bruno Senna,Williams Renault,+1.214s,20
15,12,Sergio Perez,Sauber Ferrari,+1.301s,15
5,13,Fernando Alonso,Ferrari,+1.369s,17
12,14,Nico Hulkenberg,Force India Mercedes,+1.408s,16
16,15,Daniel Ricciardo,STR Ferrari,+1.546s,13
17,16,Jean-Eric Vergne,STR Ferrari,+1.763s,11
11,17,Paul di Resta,Force India Mercedes,+1.917s,18
6,18,Felipe Massa,Ferrari,+2.332s,16
21,19,Vitaly Petrov,Caterham Renault,+2.827s,15
20,20,Heikki Kovalainen,Caterham Renault,+3.312s,14
25,21,Charles Pic,Marussia Cosworth,+5.024s,14
24,22,Timo Glock,Marussia Cosworth,+5.130s,14
22,23,Pedro de la Rosa,HRT Cosworth,+5.587s,14
23,24,Narain Karthikeyan,HRT Cosworth,+6.501s,17
