,Position,Driver,Car,Time
10,1,Graham Hill,BRM,1:30.700
6,2,Jim Clark,Lotus Climax,1:31.000
22,3,Richie Ginther,Honda,1:31.000
2,4,John Surtees,Ferrari,1:31.000
16,5,Dan Gurney,Brabham Climax,1:31.200
12,6,Jackie Stewart,BRM,1:31.400
14,7,Denny Hulme,Brabham Climax,1:32.000
8,8,Mike Spence,Lotus Climax,1:32.200
18,9,Bruce McLaren,Cooper Climax,1:32.600
28,10,Jo Siffert,Brabham Climax,1:32.900
30,11,Frank Gardner,Brabham Ford,1:32.900
4,12,Lorenzo Bandini,Ferrari,1:33.100
38,13,Innes Ireland,Lotus BRM,1:33.400
20,14,Jochen Rindt,Cooper Climax,1:33.700
26,15,Jo Bonnier,Brabham Climax,1:33.800
36,16,Bob Anderson,Lotus Climax,1:34.100
34,17,Richard Attwood,Lotus BRM,1:34.600
