,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Nico Rosberg,Mercedes,1:38.343,1:37.500,1:37.113,20
44,2,Lewis Hamilton,Mercedes,1:38.558,1:37.672,1:37.433,18
77,3,Valtteri Bottas,Williams Mercedes,1:38.448,1:38.194,1:37.912,26
5,4,Sebastian Vettel,Ferrari,1:38.598,1:38.402,1:37.965,15
7,5,Kimi Räikkönen,Ferrari,1:39.207,1:38.224,1:38.348,18
27,6,Nico Hulkenberg,Force India Mercedes,1:39.250,1:38.727,1:38.659,21
11,7,Sergio Perez,Force India Mercedes,1:39.617,1:38.914,1:38.691,19
8,8,Romain Grosjean,Lotus Mercedes,1:39.056,1:38.754,1:38.787,19
33,9,Max Verstappen,STR Renault,1:39.411,1:39.119,1:38.924,23
3,10,Daniel Ricciardo,Red Bull Racing Renault,1:39.574,1:39.005,1:39.728,18
26,11,Daniil Kvyat,Red Bull Racing Renault,1:39.580,1:39.214,,18
12,12,Felipe Nasr,Sauber Ferrari,1:40.042,1:39.323,,18
22,13,Jenson Button,McLaren Honda,1:39.739,1:39.763,,15
13,14,Pastor Maldonado,Lotus Mercedes,1:39.724,1:39.811,,15
19,15,Felipe Massa,Williams Mercedes,1:38.926,1:39.895,,17
14,16,Fernando Alonso,McLaren Honda,1:40.144,,,7
9,17,Marcus Ericsson,Sauber Ferrari,1:40.660,,,9
28,18,Will Stevens,Marussia Ferrari,1:43.693,,,9
98,19,Roberto Merhi,Marussia Ferrari,1:43.804,,,8
