,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
5,1,Sebastian Vettel,Ferrari,51,1:40.071,210.378,15:37:28
7,2,Kimi Räikkönen,Ferrari,48,1:40.294,209.910,15:32:45
44,3,Lewis Hamilton,Mercedes,44,1:40.573,209.328,15:25:26
19,4,Felipe Massa,Williams Mercedes,48,1:40.881,208.689,15:32:57
77,5,Valtteri Bottas,Williams Mercedes,45,1:41.134,208.167,15:27:37
26,6,Daniil Kvyat,Red Bull Racing Renault,52,1:41.372,207.678,15:39:52
12,7,Felipe Nasr,Sauber Ferrari,52,1:41.507,207.402,15:40:00
13,8,Pastor Maldonado,Lotus Mercedes,51,1:41.520,207.375,15:38:23
11,9,Sergio Perez,Force India Mercedes,48,1:41.772,206.862,15:32:41
3,10,Daniel Ricciardo,Red Bull Racing Renault,43,1:41.888,206.626,15:24:13
55,11,Carlos Sainz,STR Renault,44,1:42.258,205.879,15:26:04
33,12,Max Verstappen,STR Renault,29,1:42.639,205.115,15:00:46
22,13,Jenson Button,McLaren Honda,53,1:43.068,204.261,15:42:06
6,14,Nico Rosberg,Mercedes,6,1:43.133,204.132,14:16:17
14,15,Fernando Alonso,McLaren Honda,45,1:43.265,203.871,15:28:17
28,16,Will Stevens,Marussia Ferrari,50,1:44.926,200.644,15:39:07
98,17,Roberto Merhi,Marussia Ferrari,50,1:45.049,200.409,15:38:27
8,18,Romain Grosjean,Lotus Mercedes,7,1:45.266,199.996,14:18:20
