,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,53,1:37:11.024,25
5,2,Sebastian Vettel,Ferrari,53,+5.953s,18
11,3,Sergio Perez,Force India Mercedes,53,+28.918s,15
19,4,Felipe Massa,Williams Mercedes,53,+38.831s,12
26,5,Daniil Kvyat,Red Bull Racing Renault,53,+47.566s,10
12,6,Felipe Nasr,Sauber Ferrari,53,+56.508s,8
13,7,Pastor Maldonado,Lotus Mercedes,53,+61.088s,6
7,8,Kimi Räikkönen,Ferrari,53,+72.358s,4
22,9,Jenson Button,McLaren Honda,53,+79.467s,2
33,10,Max Verstappen,STR Renault,53,+88.424s,1
14,11,Fernando Alonso,McLaren Honda,53,+91.210s,0
77,12,Valtteri Bottas,Williams Mercedes,52,DNF,0
98,13,Roberto Merhi,Marussia Ferrari,52,+1 lap,0
28,14,Will Stevens,Marussia Ferrari,51,+2 laps,0
3,15,Daniel Ricciardo,Red Bull Racing Renault,47,DNF,0
55,NC,Carlos Sainz,STR Renault,45,DNF,0
8,NC,Romain Grosjean,Lotus Mercedes,11,DNF,0
6,NC,Nico Rosberg,Mercedes,7,DNF,0
27,NC,Nico Hulkenberg,Force India Mercedes,0,DNF,0
9,NC,Marcus Ericsson,Sauber Ferrari,0,DNF,0
