,Position,Driver,Car,Lap,Time
1,1,Michael Schumacher,Benetton Renault,67,1:29.174
27,2,Jean Alesi,Ferrari,33,1:30.398
28,3,Gerhard Berger,Ferrari,21,1:30.491
14,4,Rubens Barrichello,Jordan Peugeot,33,1:30.626
5,5,Damon Hill,Williams Renault,9,1:30.783
15,6,Eddie Irvine,Jordan Peugeot,32,1:30.874
30,7,Heinz-Harald Frentzen,Sauber Ford,26,1:31.155
25,8,Martin Brundle,Ligier Mugen Honda,56,1:31.496
7,9,Mark Blundell,McLaren Mercedes,25,1:31.527
26,10,Olivier Panis,Ligier Mugen Honda,66,1:31.654
9,11,Gianni Morbidelli,Footwork Hart,31,1:31.791
4,12,Mika Salo,Tyrrell Yamaha,40,1:32.153
3,13,Ukyo Katayama,Tyrrell Yamaha,37,1:32.435
23,14,Pierluigi Martini,Minardi Ford,46,1:32.855
29,15,Jean-Christophe Boullion,Sauber Ford,13,1:32.975
24,16,Luca Badoer,Minardi Ford,15,1:33.000
10,17,Taki Inoue,Footwork Hart,31,1:33.079
16,18,Bertrand Gachot,Pacific Ilmor,21,1:33.607
17,19,Andrea Montermini,Pacific Ilmor,5,1:35.588
22,20,Roberto Moreno,Forti Ford,51,1:36.483
21,21,Pedro Diniz,Forti Ford,5,1:38.055
6,22,David Coulthard,Williams Renault,1,1:40.928
