,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Benetton Renault,1:27.661,21
5,2,Damon Hill,Williams Renault,1:28.039,23
6,3,David Coulthard,Williams Renault,1:28.091,24
28,4,Gerhard Berger,Ferrari,1:28.189,21
27,5,Jean Alesi,Ferrari,1:28.474,20
2,6,Johnny Herbert,Benetton Renault,1:28.498,21
8,7,Mika Hakkinen,McLaren Mercedes,1:28.910,21
15,8,Eddie Irvine,Jordan Peugeot,1:29.021,21
14,9,Rubens Barrichello,Jordan Peugeot,1:29.171,22
7,10,Mark Blundell,McLaren Mercedes,1:29.641,24
26,11,Olivier Panis,Ligier Mugen Honda,1:29.809,21
30,12,Heinz-Harald Frentzen,Sauber Ford,1:30.017,23
9,13,Gianni Morbidelli,Footwork Hart,1:30.159,23
25,14,Martin Brundle,Ligier Mugen Honda,1:30.255,16
4,15,Mika Salo,Tyrrell Yamaha,1:30.657,23
3,16,Ukyo Katayama,Tyrrell Yamaha,1:31.382,18
23,17,Pierluigi Martini,Minardi Ford,1:31.445,23
29,18,Jean-Christophe Boullion,Sauber Ford,1:31.838,24
24,19,Luca Badoer,Minardi Ford,1:31.853,23
16,20,Bertrand Gachot,Pacific Ilmor,1:32.841,24
17,21,Andrea Montermini,Pacific Ilmor,1:32.894,21
10,22,Taki Inoue,Footwork Hart,1:32.995,12
22,23,Roberto Moreno,Forti Ford,1:34.000,15
21,24,Pedro Diniz,Forti Ford,1:34.982,19
