,Position,Driver,Car,Q1,Q2,Q3,Laps
20,1,Kevin Magnussen,Haas Ferrari,1:13.954,1:11.410,1:11.674,26
1,2,Max Verstappen,Red Bull Racing RBPT,1:13.625,1:10.881,1:11.877,23
63,3,George Russell,Mercedes,1:14.427,1:11.318,1:12.059,24
4,4,Lando Norris,McLaren Mercedes,1:13.106,1:11.377,1:12.263,25
55,5,Carlos Sainz,Ferrari,1:14.680,1:10.890,1:12.357,24
31,6,Esteban Ocon,Alpine Renault,1:14.663,1:11.587,1:12.425,22
14,7,Fernando Alonso,Alpine Renault,1:13.542,1:11.394,1:12.504,21
44,8,Lewis Hamilton,Mercedes,1:13.403,1:11.539,1:12.611,25
11,9,Sergio Perez,Red Bull Racing RBPT,1:13.613,1:11.456,1:15.601,26
16,10,Charles Leclerc,Ferrari,1:14.486,1:10.950,DNF,25
23,11,Alexander Albon,Williams Mercedes,1:14.324,1:11.631,,21
10,12,Pierre Gasly,AlphaTauri RBPT,1:14.371,1:11.675,,24
5,13,Sebastian Vettel,Aston Martin Aramco Mercedes,1:13.597,1:11.678,,23
3,14,Daniel Ricciardo,McLaren Mercedes,1:14.931,1:12.140,,21
18,15,Lance Stroll,Aston Martin Aramco Mercedes,1:14.398,1:12.210,,24
6,16,Nicholas Latifi,Williams Mercedes,1:15.095,,,13
24,17,Guanyu Zhou,Alfa Romeo Ferrari,1:15.197,,,12
77,18,Valtteri Bottas,Alfa Romeo Ferrari,1:15.486,,,13
22,19,Yuki Tsunoda,AlphaTauri RBPT,1:16.264,,,12
47,20,Mick Schumacher,Haas Ferrari,1:16.361,,,12
