,Position,Driver,Car,Time
20,1,Kevin Magnussen,Haas Ferrari,1:11.674
1,2,Max Verstappen,Red Bull Racing RBPT,1:11.877
63,3,George Russell,Mercedes,1:12.059
4,4,Lando Norris,McLaren Mercedes,1:12.263
55,5,Carlos Sainz,Ferrari,1:12.357
31,6,Esteban Ocon,Alpine Renault,1:12.425
14,7,Fernando Alonso,Alpine Renault,1:12.504
44,8,Lewis Hamilton,Mercedes,1:12.611
11,9,Sergio Perez,Red Bull Racing RBPT,1:15.601
16,10,Charles Leclerc,Ferrari,
23,11,Alexander Albon,Williams Mercedes,1:11.631
10,12,Pierre Gasly,AlphaTauri RBPT,1:11.675
5,13,Sebastian Vettel,Aston Martin Aramco Mercedes,1:11.678
3,14,Daniel Ricciardo,McLaren Mercedes,1:12.140
18,15,Lance Stroll,Aston Martin Aramco Mercedes,1:12.210
6,16,Nicholas Latifi,Williams Mercedes,1:15.095
24,17,Guanyu Zhou,Alfa Romeo Ferrari,1:15.197
77,18,Valtteri Bottas,Alfa Romeo Ferrari,1:15.486
22,19,Yuki Tsunoda,AlphaTauri RBPT,1:16.264
47,20,Mick Schumacher,Haas Ferrari,1:16.361
