,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,58,2:03:23.544,25
3,2,Daniel Ricciardo,Red Bull Racing TAG Heuer,58,+4.507s,18
77,3,Valtteri Bottas,Mercedes,58,+8.800s,15
55,4,Carlos Sainz,Toro Rosso,58,+22.822s,12
11,5,Sergio Perez,Force India Mercedes,58,+25.359s,10
30,6,Jolyon Palmer,Renault,58,+27.259s,8
2,7,Stoffel Vandoorne,McLaren Honda,58,+30.388s,6
18,8,Lance Stroll,Williams Mercedes,58,+41.696s,4
8,9,Romain Grosjean,Haas Ferrari,58,+43.282s,2
31,10,Esteban Ocon,Force India Mercedes,58,+44.795s,1
19,11,Felipe Massa,Williams Mercedes,58,+46.536s,0
94,12,Pascal Wehrlein,Sauber Ferrari,56,+2 laps,0
20,NC,Kevin Magnussen,Haas Ferrari,50,DNF,0
27,NC,Nico Hulkenberg,Renault,48,DNF,0
9,NC,Marcus Ericsson,Sauber Ferrari,35,DNF,0
26,NC,Daniil Kvyat,Toro Rosso,10,DNF,0
14,NC,Fernando Alonso,McLaren Honda,8,DNF,0
5,NC,Sebastian Vettel,Ferrari,0,DNF,0
33,NC,Max Verstappen,Red Bull Racing TAG Heuer,0,DNF,0
7,NC,Kimi Räikkönen,Ferrari,0,DNF,0
