,Position,Driver,Car,Time
5,1,Sebastian Vettel,Ferrari,1:39.491
33,2,Max Verstappen,Red Bull Racing TAG Heuer,1:39.814
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:39.840
7,4,Kimi Räikkönen,Ferrari,1:40.069
44,5,Lewis Hamilton,Mercedes,1:40.126
77,6,Valtteri Bottas,Mercedes,1:40.810
27,7,Nico Hulkenberg,Renault,1:41.013
14,8,Fernando Alonso,McLaren Honda,1:41.179
2,9,Stoffel Vandoorne,McLaren Honda,1:41.398
55,10,Carlos Sainz,Toro Rosso,1:42.056
30,11,Jolyon Palmer,Renault,1:42.107
11,12,Sergio Perez,Force India Mercedes,1:42.246
26,13,Daniil Kvyat,Toro Rosso,1:42.338
31,14,Esteban Ocon,Force India Mercedes,1:42.760
8,15,Romain Grosjean,Haas Ferrari,1:43.883
20,16,Kevin Magnussen,Haas Ferrari,1:43.756
19,17,Felipe Massa,Williams Mercedes,1:44.014
18,18,Lance Stroll,Williams Mercedes,1:44.728
94,19,Pascal Wehrlein,Sauber Ferrari,1:45.059
9,20,Marcus Ericsson,Sauber Ferrari,1:45.570
