,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
16,1,Charles Leclerc,Ferrari,44,1:36.169,206.374,14:28:22
77,2,Valtteri Bottas,Mercedes,37,1:36.957,204.696,14:15:55
23,3,Alexander Albon,Red Bull Racing Honda,42,1:38.029,202.458,14:25:25
4,4,Lando Norris,McLaren Renault,44,1:38.074,202.365,14:28:57
33,5,Max Verstappen,Red Bull Racing Honda,42,1:38.214,202.077,14:24:15
27,6,Nico Hulkenberg,Renault,47,1:38.437,201.619,14:34:11
44,7,Lewis Hamilton,Mercedes,26,1:38.446,201.600,13:57:36
26,8,Daniil Kvyat,Scuderia Toro Rosso Honda,41,1:38.969,200.535,14:24:11
7,9,Kimi Räikkönen,Alfa Romeo Racing Ferrari,46,1:39.608,199.249,14:32:32
99,10,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,41,1:39.964,198.539,14:24:38
11,11,Sergio Perez,Racing Point BWT Mercedes,34,1:40.165,198.141,14:12:02
20,12,Kevin Magnussen,Haas Ferrari,42,1:40.347,197.781,14:26:22
18,13,Lance Stroll,Racing Point BWT Mercedes,42,1:40.380,197.716,14:25:59
3,14,Daniel Ricciardo,Renault,28,1:40.564,197.354,14:01:34
55,15,Carlos Sainz,McLaren Renault,44,1:40.844,196.806,14:28:42
10,16,Pierre Gasly,Scuderia Toro Rosso Honda,31,1:40.850,196.795,14:06:48
63,17,George Russell,Williams Mercedes,54,1:41.239,196.039,14:47:42
8,18,Romain Grosjean,Haas Ferrari,52,1:41.270,195.979,14:43:22
5,19,Sebastian Vettel,Ferrari,6,1:42.165,194.262,13:23:44
88,20,Robert Kubica,Williams Mercedes,22,1:43.830,191.147,13:52:32
