,Position,Driver,Car,Time / Gap,Laps
11,1,Sergio Perez,Red Bull Racing Honda,1:12.487,36
55,2,Carlos Sainz,Ferrari,+0.119s,32
33,3,Max Verstappen,Red Bull Racing Honda,+0.161s,39
10,4,Pierre Gasly,AlphaTauri Honda,+0.442s,37
44,5,Lewis Hamilton,Mercedes,+0.508s,34
77,6,Valtteri Bottas,Mercedes,+0.644s,36
4,7,Lando Norris,McLaren Mercedes,+0.749s,31
5,8,Sebastian Vettel,Aston Martin Mercedes,+1.245s,33
22,9,Yuki Tsunoda,AlphaTauri Honda,+1.259s,39
7,10,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.594s,31
18,11,Lance Stroll,Aston Martin Mercedes,+1.603s,33
99,12,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.619s,27
14,13,Fernando Alonso,Alpine Renault,+1.718s,37
6,14,Nicholas Latifi,Williams Mercedes,+1.781s,41
3,15,Daniel Ricciardo,McLaren Mercedes,+1.794s,36
31,16,Esteban Ocon,Alpine Renault,+1.833s,37
9,17,Nikita Mazepin,Haas Ferrari,+2.129s,33
47,18,Mick Schumacher,Haas Ferrari,+2.314s,35
63,19,George Russell,Williams Mercedes,+2.353s,35
16,20,Charles Leclerc,Ferrari,+7.131s,4
