,Position,Driver,Car,Time
2,1,Alain Prost,McLaren Honda,1:20.973
8,1,Stefano Modena,Brabham Judd,1:23.398
1,2,Ayrton Senna,McLaren Honda,1:21.049
17,2,Nicola Larini,Osella Ford,1:24.550
6,3,Riccardo Patrese,Williams Renault,1:21.783
36,3,Stefan Johansson,Onyx Ford,1:24.764
28,4,Gerhard Berger,Ferrari,1:21.946
21,4,Alex Caffi,Dallara Ford,1:24.778
7,5,Martin Brundle,Brabham Judd,1:25.275
27,5,Nigel Mansell,Ferrari,1:22.165
5,6,Thierry Boutsen,Williams Renault,1:22.311
37,6,Bertrand Gachot,Onyx Ford,1:25.952
33,7,Gregor Foitek,Euro Brun Judd,1:26.365
18,8,Piercarlo Ghinzani,Osella Ford,1:26.807
34,9,Bernd Schneider,Zakspeed Yamaha,1:27.073
22,9,Andrea de Cesaris,Dallara Ford,1:23.050
41,10,Joachim Winkelhock,AGS Ford,1:28.545
30,10,Philippe Alliot,Lola Lamborghini,1:23.059
39,11,Volker Weidler,Rial Ford,1:31.455
23,11,Pierluigi Martini,Minardi Ford,1:23.252
9,12,Derek Warwick,Arrows Ford,1:23.348
35,12,Aguri Suzuki,Zakspeed Yamaha,1:53.327
19,13,Alessandro Nannini,Benetton Ford,1:23.542
32,13,Pierre Henri Raphanel,Coloni Ford,1:59.693
3,14,Jonathan  Palmer,Tyrrell Ford,1:23.665
10,16,Eddie  Cheever,Arrows Ford,1:23.828
15,17,Mauricio Gugelmin,March Judd,1:23.863
11,19,Nelson Piquet,Lotus Judd,1:24.029
4,20,Michele Alboreto,Tyrrell Ford,1:24.296
16,21,Ivan Capelli,March Judd,1:24.406
25,22,Rene Arnoux,Ligier Ford,1:24.558
38,23,Christian Danner,Rial Ford,1:24.727
24,24,Luis Perez-Sala,Minardi Ford,1:24.786
40,25,Gabriele Tarquini,AGS Ford,1:24.793
31,26,Roberto Moreno,Coloni Ford,1:25.037
12,27,Satoru Nakajima,Lotus Judd,1:25.051
29,28,Yannick Dalmas,Lola Lamborghini,1:25.161
20,29,Johnny Herbert,Benetton Ford,1:25.282
26,30,Olivier Grouillard,Ligier Ford,1:25.289
