,Position,Driver,Car,Lap,Time
3,1,Jonathan  Palmer,Tyrrell Ford,11,1:31.925
1,2,Ayrton Senna,McLaren Honda,15,1:32.143
11,3,Nelson Piquet,Lotus Judd,11,1:32.422
22,4,Andrea de Cesaris,Dallara Ford,11,1:32.481
16,5,Ivan Capelli,March Judd,14,1:32.742
21,6,Alex Caffi,Dallara Ford,15,1:33.167
5,7,Thierry Boutsen,Williams Renault,14,1:33.790
15,8,Mauricio Gugelmin,March Judd,11,1:34.231
24,9,Luis Perez-Sala,Minardi Ford,10,1:34.509
6,10,Riccardo Patrese,Williams Renault,15,1:35.251
36,11,Stefan Johansson,Onyx Ford,10,1:35.333
31,12,Roberto Moreno,Coloni Ford,13,1:35.369
17,13,Nicola Larini,Osella Ford,11,1:35.726
38,14,Christian Danner,Rial Ford,11,1:35.970
9,15,Derek Warwick,Arrows Ford,15,1:36.443
30,16,Philippe Alliot,Lola Lamborghini,11,1:36.687
25,17,Rene Arnoux,Ligier Ford,11,1:37.131
28,18,Gerhard Berger,Ferrari,6,1:37.916
40,19,Gabriele Tarquini,AGS Ford,5,1:38.284
10,20,Eddie  Cheever,Arrows Ford,3,1:38.631
2,21,Alain Prost,McLaren Honda,1,1:41.751
