,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:28.351,6
10,2,Takuma Sato,BAR Honda,1:28.986,6
7,3,Jarno Trulli,Renault,1:29.135,6
6,4,Kimi Räikkönen,McLaren Mercedes,1:29.137,6
9,5,Jenson Button,BAR Honda,1:29.245,6
8,6,Fernando Alonso,Renault,1:29.313,6
2,7,Rubens Barrichello,Ferrari,1:29.353,6
3,8,Juan Pablo Montoya,Williams BMW,1:29.354,6
4,9,Ralf Schumacher,Williams BMW,1:29.459,6
17,10,Olivier Panis,Toyota,1:29.697,6
16,11,Cristiano da Matta,Toyota,1:29.706,6
15,12,Christian Klien,Jaguar Cosworth,1:31.431,7
18,13,Nick Heidfeld,Jordan Ford,1:31.604,6
14,14,Mark Webber,Jaguar Cosworth,1:31.797,6
19,15,Giorgio Pantano,Jordan Ford,1:31.979,6
12,16,Felipe Massa,Sauber Petronas,1:31.982,6
21,17,Zsolt Baumgartner,Minardi Cosworth,1:34.398,6
5,18,David Coulthard,McLaren Mercedes,1:28.717,3
11,19,Giancarlo Fisichella,Sauber Petronas,1:29.327,5
20,20,Gianmaria Bruni,Minardi Cosworth,1:33.077,3
