,Position,Driver,Car,Lap,Time
1,1,Michael Schumacher,Benetton Renault,57,1:21.180
6,2,David Coulthard,Williams Renault,60,1:21.739
5,3,Damon Hill,Williams Renault,58,1:21.933
2,4,Johnny Herbert,Benetton Renault,56,1:22.544
8,5,Mika Hakkinen,McLaren Mercedes,65,1:22.760
27,6,Jean Alesi,Ferrari,58,1:22.814
25,7,Martin Brundle,Ligier Mugen Honda,64,1:23.801
28,8,Gerhard Berger,Ferrari,38,1:24.239
15,9,Eddie Irvine,Jordan Peugeot,63,1:24.775
14,10,Rubens Barrichello,Jordan Peugeot,37,1:25.018
29,11,Jean-Christophe Boullion,Sauber Ford,43,1:25.385
4,12,Mika Salo,Tyrrell Yamaha,61,1:25.516
24,13,Luca Badoer,Minardi Ford,62,1:25.962
3,14,Gabriele Tarquini,Tyrrell Yamaha,61,1:26.160
9,15,Massimiliano Papis,Footwork Hart,55,1:26.332
17,16,Andrea Montermini,Pacific Ilmor,44,1:26.566
23,17,Pedro Lamy,Minardi Ford,59,1:26.832
21,18,Pedro Diniz,Forti Ford,57,1:27.555
16,19,Jean-Denis Deletraz,Pacific Ilmor,59,1:31.253
30,20,Heinz-Harald Frentzen,Sauber Ford,16,1:37.423
22,21,Roberto Moreno,Forti Ford,21,1:37.763
26,22,Olivier Panis,Ligier Mugen Honda,12,1:39.347
7,23,Mark Blundell,McLaren Mercedes,14,1:40.613
