,Position,Driver,Car,Lap,Time
6,1,Riccardo Patrese,Brabham BMW,47,1:34.437
27,2,Patrick Tambay,Ferrari,47,1:35.516
5,3,Nelson Piquet,Brabham BMW,33,1:36.306
28,4,Rene Arnoux,Ferrari,35,1:36.423
15,5,Alain Prost,Renault,13,1:36.833
22,6,Andrea de Cesaris,Alfa Romeo,24,1:37.214
29,7,Marc Surer,Arrows Ford,45,1:37.718
1,8,Keke Rosberg,Williams Honda,45,1:37.836
25,9,Jean-Pierre Jarier,Ligier Ford,33,1:38.026
23,10,Mauro Baldi,Alfa Romeo,51,1:38.063
30,11,Chico Serra,Arrows Ford,44,1:38.366
7,12,John Watson,McLaren TAG,53,1:38.380
2,13,Jacques Laffite,Williams Honda,27,1:38.463
12,14,Nigel Mansell,Lotus Ford,24,1:38.466
11,15,Elio de Angelis,Lotus Ford,14,1:38.615
8,16,Niki Lauda,McLaren TAG,10,1:38.641
35,17,Derek Warwick,Toleman Hart,27,1:39.069
3,18,Michele Alboreto,Tyrrell Ford,8,1:39.438
26,19,Raul Boesel,Ligier Ford,51,1:39.480
4,20,Danny Sullivan,Tyrrell Ford,21,1:39.685
31,21,Corrado Fabi,Osella Ford,19,1:39.692
9,22,Manfred Winkelhock,ATS BMW,50,1:39.903
36,23,Bruno Giacomelli,Toleman Hart,16,1:39.917
34,24,Johnny Cecotto,Theodore Ford,10,1:41.961
33,25,Roberto Guerrero,Theodore Ford,3,1:44.305
16,26,Eddie  Cheever,Renault,1,1:51.645
