,Position,Driver,Car,Time
12,1,Ayrton Senna,McLaren Honda,1:41.853
11,2,Alain Prost,McLaren Honda,1:42.177
28,3,Gerhard Berger,Ferrari,1:43.353
16,4,Ivan Capelli,March Judd,1:43.605
1,5,Nelson Piquet,Lotus Honda,1:43.693
2,6,Satoru Nakajima,Lotus Honda,1:43.693
17,7,Derek Warwick,Arrows Megatron,1:43.816
5,8,Nigel Mansell,Williams Judd,1:43.893
27,9,Michele Alboreto,Ferrari,1:43.972
20,10,Thierry Boutsen,Benetton Ford,1:44.499
6,11,Riccardo Patrese,Williams Judd,1:44.555
19,12,Alessandro Nannini,Benetton Ford,1:44.611
15,13,Mauricio Gugelmin,March Judd,1:45.138
22,14,Andrea de Cesaris,Rial Ford,1:45.558
18,15,Eddie  Cheever,Arrows Megatron,1:45.845
3,16,Jonathan  Palmer,Tyrrell Ford,1:45.916
23,17,Pierluigi Martini,Minardi Ford,1:46.449
14,18,Philippe Streiff,AGS Ford,1:46.486
30,19,Philippe Alliot,Lola Ford,1:46.521
29,20,Aguri Suzuki,Lola Ford,1:46.920
36,21,Alex Caffi,Dallara Ford,1:46.982
24,22,Luis Perez-Sala,Minardi Ford,1:47.134
25,23,Rene Arnoux,Ligier Judd,1:47.193
21,24,Nicola Larini,Osella,1:47.547
10,25,Bernd Schneider,Zakspeed,1:47.599
4,26,Julian Bailey,Tyrrell Ford,1:48.589
26,27,Stefan Johansson,Ligier Judd,1:48.716
32,28,Oscar Larrauri,Euro Brun Ford,1:49.265
9,29,Piercarlo Ghinzani,Zakspeed,1:49.706
33,30,Stefano Modena,Euro Brun Ford,1:49.810
