,Position,Driver,Car,Lap,Time
3,1,Jacques Villeneuve,Williams Renault,28,1:18.397
11,2,Ralf Schumacher,Jordan Peugeot,29,1:18.441
8,3,Gerhard Berger,Benetton Renault,25,1:18.509
12,4,Giancarlo Fisichella,Jordan Peugeot,39,1:18.611
9,5,Mika Hakkinen,McLaren Mercedes,34,1:18.649
4,6,Heinz-Harald Frentzen,Williams Renault,30,1:18.707
17,7,Nicola Larini,Sauber Petronas,48,1:18.730
7,8,Jean Alesi,Benetton Renault,25,1:18.754
5,9,Michael Schumacher,Ferrari,44,1:18.773
10,10,David Coulthard,McLaren Mercedes,35,1:18.925
16,11,Johnny Herbert,Sauber Petronas,19,1:19.008
14,12,Olivier Panis,Prost Mugen Honda,57,1:19.094
6,13,Eddie Irvine,Ferrari,41,1:19.275
15,14,Shinji Nakano,Prost Mugen Honda,39,1:19.657
1,15,Damon Hill,Arrows Yamaha,41,1:19.910
20,16,Ukyo Katayama,Minardi Hart,42,1:19.960
21,17,Jarno Trulli,Minardi Hart,55,1:20.105
18,18,Jos Verstappen,Tyrrell Ford,43,1:20.274
19,19,Mika Salo,Tyrrell Ford,61,1:20.376
2,20,Pedro Diniz,Arrows Yamaha,10,1:20.406
22,21,Rubens Barrichello,Stewart Ford,14,1:20.788
