,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:14.389,11
5,2,Ralf Schumacher,Williams BMW,1:14.570,12
2,3,Rubens Barrichello,Ferrari,1:14.693,12
6,4,Juan Pablo Montoya,Williams BMW,1:15.108,11
4,5,Kimi Räikkönen,McLaren Mercedes,1:15.639,11
9,6,Giancarlo Fisichella,Jordan Honda,1:15.690,12
12,7,Olivier Panis,BAR Honda,1:15.851,12
14,8,Jarno Trulli,Renault,1:15.885,12
3,9,David Coulthard,McLaren Mercedes,1:15.909,12
7,10,Nick Heidfeld,Sauber Petronas,1:15.990,12
11,11,Jacques Villeneuve,BAR Honda,1:16.070,11
10,12,Takuma Sato,Jordan Honda,1:16.072,12
15,13,Jenson Button,Renault,1:16.278,12
8,14,Felipe Massa,Sauber Petronas,1:16.351,11
20,15,Heinz-Harald Frentzen,Arrows Cosworth,1:16.505,12
16,16,Eddie Irvine,Jaguar Cosworth,1:16.533,12
25,17,Allan McNish,Toyota,1:16.594,12
21,18,Enrique Bernoldi,Arrows Cosworth,1:16.645,12
24,19,Mika Salo,Toyota,1:16.685,11
17,20,Pedro de la Rosa,Jaguar Cosworth,1:17.077,12
23,21,Mark Webber,Minardi Asiatech,1:17.996,11
22,NC,Alex Yoong,Minardi Asiatech,1:19.775,12
