,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:16.116
6,2,Riccardo Patrese,Williams Renault,+1.808s
1,3,Ayrton Senna,McLaren Honda,+2.415s
2,4,Gerhard Berger,McLaren Honda,+2.686s
26,5,Erik Comas,Ligier Renault,+2.691s
27,6,Jean Alesi,Ferrari,+2.757s
4,7,Andrea de Cesaris,Tyrrell Ilmor,+3.125s
9,8,Michele Alboreto,Footwork Mugen Honda,+3.385s
25,9,Thierry Boutsen,Ligier Renault,+3.483s
15,10,Gabriele Tarquini,Fondmetal Ford,+3.498s
22,11,Pierluigi Martini,Dallara Ferrari,+3.561s
28,12,Ivan Capelli,Ferrari,+3.572s
16,13,Karl Wendlinger,March Ilmor,+3.575s
3,14,Olivier Grouillard,Tyrrell Ilmor,+3.583s
32,15,Stefano Modena,Jordan Yamaha,+3.592s
10,16,Aguri Suzuki,Footwork Mugen Honda,+3.686s
21,17,Jyrki Jarvilehto,Dallara Ferrari,+3.720s
19,18,Michael Schumacher,Benetton Ford,+3.875s
20,19,Martin Brundle,Benetton Ford,+3.989s
24,20,Gianni Morbidelli,Minardi Lamborghini,+3.992s
29,21,Bertrand Gachot,Venturi Lamborghini,+4.515s
33,22,Mauricio Gugelmin,Jordan Yamaha,+4.537s
11,23,Mika Hakkinen,Lotus Ford,+4.695s
30,24,Ukyo Katayama,Venturi Lamborghini,+4.695s
12,25,Johnny Herbert,Lotus Ford,+4.845s
23,26,Christian Fittipaldi,Minardi Lamborghini,+4.898s
14,27,Andrea Chiesa,Fondmetal Ford,+5.182s
17,28,Paul Belmondo,March Ilmor,+5.609s
7,29,Eric van de Poele,Brabham Judd,+6.859s
8,30,Giovanna Amati,Brabham Judd,+10.766s
