,Position,Driver,Car,Laps,Time,Points
5,1,Nigel Mansell,Williams Renault,71,1:36:51.856,10
6,2,Riccardo Patrese,Williams Renault,71,+29.330s,6
19,3,Michael Schumacher,Benetton Ford,70,+1 lap,4
27,4,Jean Alesi,Ferrari,70,+1 lap,3
28,5,Ivan Capelli,Ferrari,70,+1 lap,2
9,6,Michele Alboreto,Footwork Mugen Honda,70,+1 lap,1
24,7,Gianni Morbidelli,Minardi Lamborghini,69,+2 laps,0
21,8,Jyrki Jarvilehto,Dallara Ferrari,69,+2 laps,0
30,9,Ukyo Katayama,Venturi Lamborghini,68,+3 laps,0
11,10,Mika Hakkinen,Lotus Ford,67,+4 laps,0
15,NC,Gabriele Tarquini,Fondmetal Ford,62,DNF,0
16,NC,Karl Wendlinger,March Ilmor,55,DNF,0
23,NC,Christian Fittipaldi,Minardi Lamborghini,54,DNF,0
3,NC,Olivier Grouillard,Tyrrell Ilmor,52,DNF,0
26,NC,Erik Comas,Ligier Renault,42,DNF,0
12,NC,Johnny Herbert,Lotus Ford,36,DNF,0
25,NC,Thierry Boutsen,Ligier Renault,36,DNF,0
33,NC,Mauricio Gugelmin,Jordan Yamaha,36,DNF,0
20,NC,Martin Brundle,Benetton Ford,30,DNF,0
22,NC,Pierluigi Martini,Dallara Ferrari,24,DNF,0
29,NC,Bertrand Gachot,Venturi Lamborghini,23,DNF,0
4,NC,Andrea de Cesaris,Tyrrell Ilmor,21,DNF,0
1,NC,Ayrton Senna,McLaren Honda,17,DNF,0
2,NC,Gerhard Berger,McLaren Honda,4,DNF,0
10,NC,Aguri Suzuki,Footwork Mugen Honda,2,DNF,0
32,NC,Stefano Modena,Jordan Yamaha,1,DNF,0
