,Position,Driver,Car,Lap,Time
6,1,Riccardo Patrese,Williams Renault,34,1:19.490
5,2,Nigel Mansell,Williams Renault,48,1:19.682
15,3,Gabriele Tarquini,Fondmetal Ford,56,1:21.028
19,4,Michael Schumacher,Benetton Ford,46,1:21.625
16,5,Karl Wendlinger,March Ilmor,45,1:21.851
20,6,Martin Brundle,Benetton Ford,28,1:22.019
27,7,Jean Alesi,Ferrari,52,1:22.048
3,8,Olivier Grouillard,Tyrrell Ilmor,46,1:22.091
28,9,Ivan Capelli,Ferrari,40,1:22.116
26,10,Erik Comas,Ligier Renault,38,1:22.129
24,11,Gianni Morbidelli,Minardi Lamborghini,42,1:22.160
25,12,Thierry Boutsen,Ligier Renault,35,1:22.180
9,13,Michele Alboreto,Footwork Mugen Honda,40,1:22.217
21,14,Jyrki Jarvilehto,Dallara Ferrari,46,1:22.445
11,15,Mika Hakkinen,Lotus Ford,45,1:22.593
23,16,Christian Fittipaldi,Minardi Lamborghini,41,1:22.597
30,17,Ukyo Katayama,Venturi Lamborghini,51,1:22.712
33,18,Mauricio Gugelmin,Jordan Yamaha,35,1:22.722
12,19,Johnny Herbert,Lotus Ford,27,1:22.771
22,20,Pierluigi Martini,Dallara Ferrari,21,1:23.047
1,21,Ayrton Senna,McLaren Honda,16,1:23.101
4,22,Andrea de Cesaris,Tyrrell Ilmor,19,1:23.241
29,23,Bertrand Gachot,Venturi Lamborghini,17,1:23.524
2,24,Gerhard Berger,McLaren Honda,3,1:23.601
10,25,Aguri Suzuki,Footwork Mugen Honda,1,1:39.300
32,26,Stefano Modena,Jordan Yamaha,1,2:08.611
