,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Sebastian Vettel,Red Bull Racing Renault,46,1:48.574,167.940
15,2,Adrian Sutil,Force India Mercedes,43,1:49.656,166.283
2,3,Mark Webber,Red Bull Racing Renault,51,1:49.783,166.091
10,4,Lewis Hamilton,Mercedes,59,1:49.916,165.890
18,5,Jean-Eric Vergne,STR Ferrari,45,1:50.328,165.270
9,6,Nico Rosberg,Mercedes,51,1:50.353,165.233
4,7,Felipe Massa,Ferrari,45,1:50.509,165.000
16,8,Pastor Maldonado,Williams Renault,46,1:50.708,164.703
14,9,Paul di Resta,Force India Mercedes,45,1:50.739,164.657
20,10,Charles Pic,Caterham Renault,58,1:50.990,164.285
3,11,Fernando Alonso,Ferrari,44,1:51.082,164.149
8,12,Romain Grosjean,Lotus Renault,35,1:51.097,164.126
7,13,Kimi Räikkönen,Lotus Renault,55,1:51.140,164.063
17,14,Valtteri Bottas,Williams Renault,53,1:51.706,163.232
5,15,Jenson Button,McLaren Mercedes,46,1:51.740,163.182
6,16,Sergio Perez,McLaren Mercedes,46,1:51.926,162.911
12,17,Esteban Gutierrez ,Sauber Ferrari,37,1:52.007,162.793
11,18,Nico Hulkenberg,Sauber Ferrari,47,1:52.186,162.533
21,19,Giedo van der Garde,Caterham Renault,44,1:52.472,162.120
22,20,Jules Bianchi,Marussia Cosworth,45,1:52.898,161.508
23,21,Max Chilton,Marussia Cosworth,50,1:53.041,161.304
19,22,Daniel Ricciardo,STR Ferrari,23,1:53.052,161.288
