,Position,Driver,Car,Time
1,1,Sebastian Vettel,Red Bull Racing Renault,1:42.841
9,2,Nico Rosberg,Mercedes,1:42.932
8,3,Romain Grosjean,Lotus Renault,1:43.058
2,4,Mark Webber,Red Bull Racing Renault,1:43.152
10,5,Lewis Hamilton,Mercedes,1:43.254
4,6,Felipe Massa,Ferrari,1:43.890
3,7,Fernando Alonso,Ferrari,1:43.938
5,8,Jenson Button,McLaren Mercedes,1:44.282
19,9,Daniel Ricciardo,STR Ferrari,1:44.439
12,10,Esteban Gutierrez ,Sauber Ferrari,
11,11,Nico Hulkenberg,Sauber Ferrari,1:44.555
18,12,Jean-Eric Vergne,STR Ferrari,1:44.588
7,13,Kimi Räikkönen,Lotus Renault,1:44.658
6,14,Sergio Perez,McLaren Mercedes,1:44.752
15,15,Adrian Sutil,Force India Mercedes,1:45.185
17,16,Valtteri Bottas,Williams Renault,1:45.388
14,17,Paul di Resta,Force India Mercedes,1:46.121
16,18,Pastor Maldonado,Williams Renault,1:46.619
20,19,Charles Pic,Caterham Renault,1:48.111
21,20,Giedo van der Garde,Caterham Renault,1:48.320
22,21,Jules Bianchi,Marussia Cosworth,1:48.830
23,22,Max Chilton,Marussia Cosworth,1:48.930
