,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Kimi Räikkönen,McLaren Mercedes,13,1:22.559,252.604
5,2,Michael Schumacher,Ferrari,14,1:22.575,252.555
6,3,Felipe Massa,Ferrari,41,1:23.003,251.253
17,4,Robert Kubica,Sauber BMW,21,1:23.111,250.927
1,5,Fernando Alonso,Renault,38,1:23.121,250.896
16,6,Nick Heidfeld,Sauber BMW,20,1:23.294,250.375
12,7,Jenson Button,Honda,51,1:23.518,249.704
2,8,Giancarlo Fisichella,Renault,25,1:23.617,249.408
4,9,Pedro de la Rosa,McLaren Mercedes,8,1:23.702,249.155
11,10,Rubens Barrichello,Honda,27,1:23.794,248.881
8,11,Jarno Trulli,Toyota,25,1:23.869,248.659
9,12,Mark Webber,Williams Cosworth,27,1:24.197,247.690
15,13,Christian Klien,RBR Ferrari,37,1:24.571,246.595
20,14,Vitantonio Liuzzi,STR Cosworth,52,1:24.764,246.033
18,15,Tiago Monteiro,MF1 Toyota,27,1:24.822,245.865
7,16,Ralf Schumacher,Toyota,41,1:24.837,245.821
14,17,David Coulthard,RBR Ferrari,51,1:24.984,245.396
21,18,Scott Speed,STR Cosworth,50,1:25.094,245.079
10,19,Nico Rosberg,Williams Cosworth,8,1:25.362,244.310
19,20,Christijan Albers,MF1 Toyota,17,1:25.494,243.932
22,21,Takuma Sato,Super Aguri Honda,15,1:25.676,243.414
23,22,Sakon Yamamoto,Super Aguri Honda,15,1:26.548,240.962
