,Position,Driver,Car,Laps,Time,Points
77,1,Valtteri Bottas,Mercedes,18,27:54.078,3
33,2,Max Verstappen,Red Bull Racing Honda,18,+2.325s,2
3,3,Daniel Ricciardo,McLaren Mercedes,18,+14.534s,1
4,4,Lando Norris,McLaren Mercedes,18,+18.835s,0
44,5,Lewis Hamilton,Mercedes,18,+20.011s,0
16,6,Charles Leclerc,Ferrari,18,+23.442s,0
55,7,Carlos Sainz,Ferrari,18,+27.952s,0
99,8,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,18,+31.089s,0
11,9,Sergio Perez,Red Bull Racing Honda,18,+31.680s,0
18,10,Lance Stroll,Aston Martin Mercedes,18,+38.671s,0
14,11,Fernando Alonso,Alpine Renault,18,+39.795s,0
5,12,Sebastian Vettel,Aston Martin Mercedes,18,+41.177s,0
31,13,Esteban Ocon,Alpine Renault,18,+43.373s,0
6,14,Nicholas Latifi,Williams Mercedes,18,+45.977s,0
63,15,George Russell,Williams Mercedes,18,+46.821s,0
22,16,Yuki Tsunoda,AlphaTauri Honda,18,+49.977s,0
9,17,Nikita Mazepin,Haas Ferrari,18,+62.599s,0
88,18,Robert Kubica,Alfa Romeo Racing Ferrari,18,+65.096s,0
47,19,Mick Schumacher,Haas Ferrari,18,+66.154s,0
10,NC,Pierre Gasly,AlphaTauri Honda,0,DNF,0
