,Position,Driver,Car,Time
77,1,Valtteri Bottas,Mercedes,1:19.555
44,2,Lewis Hamilton,Mercedes,1:19.651
33,3,Max Verstappen,Red Bull Racing Honda,1:19.966
4,4,Lando Norris,McLaren Mercedes,1:19.989
3,5,Daniel Ricciardo,McLaren Mercedes,1:19.995
10,6,Pierre Gasly,AlphaTauri Honda,1:20.260
55,7,Carlos Sainz,Ferrari,1:20.462
16,8,Charles Leclerc,Ferrari,1:20.510
11,9,Sergio Perez,Red Bull Racing Honda,1:20.611
99,10,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:20.808
5,11,Sebastian Vettel,Aston Martin Mercedes,1:20.913
18,12,Lance Stroll,Aston Martin Mercedes,1:21.020
14,13,Fernando Alonso,Alpine Renault,1:21.069
31,14,Esteban Ocon,Alpine Renault,1:21.103
63,15,George Russell,Williams Mercedes,1:21.392
6,16,Nicholas Latifi,Williams Mercedes,1:21.925
22,17,Yuki Tsunoda,AlphaTauri Honda,1:21.973
47,18,Mick Schumacher,Haas Ferrari,1:22.248
88,19,Robert Kubica,Alfa Romeo Racing Ferrari,1:22.530
9,20,Nikita Mazepin,Haas Ferrari,1:22.716
