,Position,Driver,Car,Lap,Time,Avg Speed
4,1,David Coulthard,McLaren Mercedes,68,1:19.424,152.749
1,2,Michael Schumacher,Ferrari,50,1:19.770,152.087
2,3,Rubens Barrichello,Ferrari,57,1:20.329,151.028
10,4,Jacques Villeneuve,BAR Honda,75,1:20.417,150.863
18,5,Eddie Irvine,Jaguar Cosworth,76,1:20.681,150.369
17,6,Kimi Räikkönen,Sauber Petronas,60,1:20.705,150.325
11,7,Heinz-Harald Frentzen,Jordan Honda,46,1:20.810,150.129
5,8,Ralf Schumacher,Williams BMW,47,1:20.975,149.824
22,9,Jean Alesi,Prost Acer,73,1:21.151,149.499
8,10,Jenson Button,Benetton Renault,65,1:21.580,148.712
7,11,Giancarlo Fisichella,Benetton Renault,37,1:21.646,148.592
3,12,Mika Hakkinen,McLaren Mercedes,12,1:21.682,148.527
14,13,Jos Verstappen,Arrows Asiatech,74,1:21.732,148.436
15,14,Enrique Bernoldi,Arrows Asiatech,75,1:22.053,147.855
12,15,Jarno Trulli,Jordan Honda,30,1:22.345,147.331
21,16,Fernando Alonso,Minardi European,28,1:22.956,146.246
19,17,Pedro de la Rosa,Jaguar Cosworth,18,1:23.483,145.322
23,18,Luciano Burti,Prost Acer,18,1:24.206,144.075
20,19,Tarso Marques,Minardi European,33,1:24.570,143.455
9,20,Olivier Panis,BAR Honda,10,1:24.719,143.202
6,21,Juan Pablo Montoya,Williams BMW,2,1:25.773,141.443
