,Position,Driver,Car,Time,Laps
4,1,David Coulthard,McLaren Mercedes,1:17.430,12
1,2,Michael Schumacher,Ferrari,1:17.631,11
3,3,Mika Hakkinen,McLaren Mercedes,1:17.749,12
2,4,Rubens Barrichello,Ferrari,1:17.856,12
5,5,Ralf Schumacher,Williams BMW,1:18.029,11
18,6,Eddie Irvine,Jaguar Cosworth,1:18.432,12
6,7,Juan Pablo Montoya,Williams BMW,1:18.751,12
12,8,Jarno Trulli,Jordan Honda,1:18.921,12
10,9,Jacques Villeneuve,BAR Honda,1:19.086,12
7,10,Giancarlo Fisichella,Benetton Renault,1:19.220,11
22,11,Jean Alesi,Prost Acer,1:19.245,12
9,12,Olivier Panis,BAR Honda,1:19.294,12
11,13,Heinz-Harald Frentzen,Jordan Honda,1:19.316,11
19,14,Pedro de la Rosa,Jaguar Cosworth,1:20.033,12
17,15,Kimi Räikkönen,Sauber Petronas,1:20.081,12
16,16,Nick Heidfeld,Sauber Petronas,1:20.261,12
8,17,Jenson Button,Benetton Renault,1:20.342,12
21,18,Fernando Alonso,Minardi European,1:20.788,12
14,19,Jos Verstappen,Arrows Asiatech,1:20.823,12
15,20,Enrique Bernoldi,Arrows Asiatech,1:21.336,11
23,21,Luciano Burti,Prost Acer,1:21.771,12
20,22,Tarso Marques,Minardi European,1:22.201,12
