,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,55,1:38:04.013,25
6,2,Nico Rosberg,Mercedes,55,+0.439s,18
5,3,Sebastian Vettel,Ferrari,55,+0.843s,15
33,4,Max Verstappen,Red Bull Racing TAG Heuer,55,+1.685s,12
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,55,+5.315s,10
7,6,Kimi Räikkönen,Ferrari,55,+18.816s,8
27,7,Nico Hulkenberg,Force India Mercedes,55,+50.114s,6
11,8,Sergio Perez,Force India Mercedes,55,+58.776s,4
19,9,Felipe Massa,Williams Mercedes,55,+59.436s,2
14,10,Fernando Alonso,McLaren Honda,55,+59.896s,1
8,11,Romain Grosjean,Haas Ferrari,55,+76.777s,0
21,12,Esteban Gutierrez ,Haas Ferrari,55,+95.113s,0
31,13,Esteban Ocon,MRT Mercedes,54,+1 lap,0
94,14,Pascal Wehrlein,MRT Mercedes,54,+1 lap,0
9,15,Marcus Ericsson,Sauber Ferrari,54,+1 lap,0
12,16,Felipe Nasr,Sauber Ferrari,54,+1 lap,0
30,17,Jolyon Palmer,Renault,54,+1 lap,0
55,NC,Carlos Sainz,Toro Rosso Ferrari,41,DNF,0
26,NC,Daniil Kvyat,Toro Rosso Ferrari,14,DNF,0
22,NC,Jenson Button,McLaren Honda,12,DNF,0
77,NC,Valtteri Bottas,Williams Mercedes,6,DNF,0
20,NC,Kevin Magnussen,Renault,5,DNF,0
