,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:39.487,1:39.382,1:38.755,12
6,2,Nico Rosberg,Mercedes,1:40.511,1:39.490,1:39.058,12
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:41.002,1:40.429,1:39.589,17
7,4,Kimi Räikkönen,Ferrari,1:40.338,1:39.629,1:39.604,14
5,5,Sebastian Vettel,Ferrari,1:40.341,1:40.034,1:39.661,14
33,6,Max Verstappen,Red Bull Racing TAG Heuer,1:40.424,1:39.903,1:39.818,13
27,7,Nico Hulkenberg,Force India Mercedes,1:41.000,1:40.709,1:40.501,12
11,8,Sergio Perez,Force India Mercedes,1:40.864,1:40.743,1:40.519,12
14,9,Fernando Alonso,McLaren Honda,1:41.616,1:41.044,1:41.106,17
19,10,Felipe Massa,Williams Mercedes,1:41.157,1:40.858,1:41.213,15
77,11,Valtteri Bottas,Williams Mercedes,1:41.192,1:41.084,,9
22,12,Jenson Button,McLaren Honda,1:41.158,1:41.272,,14
21,13,Esteban Gutierrez ,Haas Ferrari,1:41.639,1:41.480,,16
8,14,Romain Grosjean,Haas Ferrari,1:41.467,1:41.564,,15
30,15,Jolyon Palmer,Renault,1:41.775,1:41.820,,14
94,16,Pascal Wehrlein,MRT Mercedes,1:41.886,1:41.995,,14
26,17,Daniil Kvyat,Toro Rosso Ferrari,1:42.003,,,9
20,18,Kevin Magnussen,Renault,1:42.142,,,6
12,19,Felipe Nasr,Sauber Ferrari,1:42.247,,,8
31,20,Esteban Ocon,MRT Mercedes,1:42.286,,,8
55,21,Carlos Sainz,Toro Rosso Ferrari,1:42.393,,,9
9,22,Marcus Ericsson,Sauber Ferrari,1:42.637,,,8
