,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:38.755
6,2,Nico Rosberg,Mercedes,1:39.058
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:39.589
7,4,Kimi Räikkönen,Ferrari,1:39.604
5,5,Sebastian Vettel,Ferrari,1:39.661
33,6,Max Verstappen,Red Bull Racing TAG Heuer,1:39.818
27,7,Nico Hulkenberg,Force India Mercedes,1:40.501
11,8,Sergio Perez,Force India Mercedes,1:40.519
14,9,Fernando Alonso,McLaren Honda,1:41.106
19,10,Felipe Massa,Williams Mercedes,1:41.213
77,11,Valtteri Bottas,Williams Mercedes,1:41.084
22,12,Jenson Button,McLaren Honda,1:41.272
21,13,Esteban Gutierrez ,Haas Ferrari,1:41.480
8,14,Romain Grosjean,Haas Ferrari,1:41.564
30,15,Jolyon Palmer,Renault,1:41.820
94,16,Pascal Wehrlein,MRT Mercedes,1:41.995
26,17,Daniil Kvyat,Toro Rosso Ferrari,1:42.003
20,18,Kevin Magnussen,Renault,1:42.142
12,19,Felipe Nasr,Sauber Ferrari,1:42.247
31,20,Esteban Ocon,MRT Mercedes,1:42.286
55,21,Carlos Sainz,Toro Rosso Ferrari,1:42.393
9,22,Marcus Ericsson,Sauber Ferrari,1:42.637
