,Position,Driver,Car,Time,Laps
3,1,Michael Schumacher,Ferrari,1:14.266,12
2,2,David Coulthard,McLaren Mercedes,1:14.392,12
1,3,Mika Hakkinen,McLaren Mercedes,1:14.428,12
4,4,Rubens Barrichello,Ferrari,1:14.600,12
6,5,Jarno Trulli,Jordan Mugen Honda,1:15.006,12
10,6,Jenson Button,Williams BMW,1:15.017,12
5,7,Heinz-Harald Frentzen,Jordan Mugen Honda,1:15.067,11
22,8,Jacques Villeneuve,BAR Honda,1:15.317,10
16,9,Pedro Diniz,Sauber Petronas,1:15.418,12
9,10,Ralf Schumacher,Williams BMW,1:15.484,11
12,11,Alexander Wurz,Benetton Playlife,1:15.762,10
23,12,Ricardo Zonta,BAR Honda,1:15.784,12
19,13,Jos Verstappen,Arrows Supertec,1:15.808,12
17,14,Mika Salo,Sauber Petronas,1:15.881,12
11,15,Giancarlo Fisichella,Benetton Playlife,1:15.907,12
15,16,Nick Heidfeld,Prost Peugeot,1:16.060,12
7,17,Eddie Irvine,Jaguar Cosworth,1:16.098,12
18,18,Pedro de la Rosa,Arrows Supertec,1:16.143,12
8,19,Johnny Herbert,Jaguar Cosworth,1:16.225,12
14,20,Jean Alesi,Prost Peugeot,1:16.471,11
21,21,Gaston Mazzacane,Minardi Fondmetal,1:16.809,11
20,22,Marc Gene,Minardi Fondmetal,1:17.161,11
