,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:27.511
77,2,Valtteri Bottas,Mercedes,1:27.622
33,3,Max Verstappen,Red Bull Racing Honda,1:27.653
16,4,Charles Leclerc,Ferrari,1:28.054
11,5,Sergio Perez,Red Bull Racing Honda,1:28.123
10,6,Pierre Gasly,AlphaTauri Honda,1:28.125
4,7,Lando Norris,McLaren Mercedes,1:28.180
22,8,Yuki Tsunoda,AlphaTauri Honda,1:28.442
31,9,Esteban Ocon,Alpine Renault,1:28.647
99,10,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:28.754
3,11,Daniel Ricciardo,McLaren Mercedes,1:28.668
7,12,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:28.885
14,13,Fernando Alonso,Alpine Renault,1:28.920
63,14,George Russell,Williams Mercedes,1:29.054
55,15,Carlos Sainz,Ferrari,1:53.652
6,16,Nicholas Latifi,Williams Mercedes,1:29.177
5,17,Sebastian Vettel,Aston Martin Mercedes,1:29.198
18,18,Lance Stroll,Aston Martin Mercedes,1:29.368
47,19,Mick Schumacher,Haas Ferrari,1:29.464
9,20,Nikita Mazepin,Haas Ferrari,1:30.473
