,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,50,2:06:15.118,26
33,2,Max Verstappen,Red Bull Racing Honda,50,+21.825s,18
77,3,Valtteri Bottas,Mercedes,50,+27.531s,15
31,4,Esteban Ocon,Alpine Renault,50,+27.633s,12
3,5,Daniel Ricciardo,McLaren Mercedes,50,+40.121s,10
10,6,Pierre Gasly,AlphaTauri Honda,50,+41.613s,8
16,7,Charles Leclerc,Ferrari,50,+44.475s,6
55,8,Carlos Sainz,Ferrari,50,+46.606s,4
99,9,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,50,+58.505s,2
4,10,Lando Norris,McLaren Mercedes,50,+61.358s,1
18,11,Lance Stroll,Aston Martin Mercedes,50,+77.212s,0
6,12,Nicholas Latifi,Williams Mercedes,50,+83.249s,0
14,13,Fernando Alonso,Alpine Renault,49,+1 lap,0
22,14,Yuki Tsunoda,AlphaTauri Honda,49,+1 lap,0
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,49,+1 lap,0
5,NC,Sebastian Vettel,Aston Martin Mercedes,44,DNF,0
11,NC,Sergio Perez,Red Bull Racing Honda,14,DNF,0
9,NC,Nikita Mazepin,Haas Ferrari,14,DNF,0
63,NC,George Russell,Williams Mercedes,14,DNF,0
47,NC,Mick Schumacher,Haas Ferrari,8,DNF,0
