,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:29.786,21
33,2,Max Verstappen,Red Bull Racing Honda,+0.056s,23
77,3,Valtteri Bottas,Mercedes,+0.223s,24
10,4,Pierre Gasly,AlphaTauri Honda,+0.477s,28
99,5,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+0.532s,27
55,6,Carlos Sainz,Ferrari,+0.778s,26
16,7,Charles Leclerc,Ferrari,+0.814s,26
3,8,Daniel Ricciardo,McLaren Mercedes,+0.822s,25
14,9,Fernando Alonso,Alpine Renault,+1.056s,27
5,10,Sebastian Vettel,Aston Martin Mercedes,+1.100s,25
11,11,Sergio Perez,Red Bull Racing Honda,+1.174s,27
31,12,Esteban Ocon,Alpine Renault,+1.237s,29
4,13,Lando Norris,McLaren Mercedes,+1.243s,23
18,14,Lance Stroll,Aston Martin Mercedes,+1.258s,25
22,15,Yuki Tsunoda,AlphaTauri Honda,+1.313s,26
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.510s,26
63,17,George Russell,Williams Mercedes,+1.557s,28
47,18,Mick Schumacher,Haas Ferrari,+1.739s,24
6,19,Nicholas Latifi,Williams Mercedes,+2.035s,27
9,20,Nikita Mazepin,Haas Ferrari,+3.678s,23
