,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:29.018,22
77,2,Valtteri Bottas,Mercedes,+0.061s,23
10,3,Pierre Gasly,AlphaTauri Honda,+0.081s,22
33,4,Max Verstappen,Red Bull Racing Honda,+0.195s,20
14,5,Fernando Alonso,Alpine Renault,+0.423s,21
31,6,Esteban Ocon,Alpine Renault,+0.537s,22
55,7,Carlos Sainz,Ferrari,+0.571s,24
22,8,Yuki Tsunoda,AlphaTauri Honda,+0.579s,20
11,9,Sergio Perez,Red Bull Racing Honda,+0.750s,22
16,10,Charles Leclerc,Ferrari,+0.754s,23
3,11,Daniel Ricciardo,McLaren Mercedes,+0.950s,22
4,12,Lando Norris,McLaren Mercedes,+0.986s,19
99,13,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.092s,23
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.258s,24
18,15,Lance Stroll,Aston Martin Mercedes,+1.424s,22
5,16,Sebastian Vettel,Aston Martin Mercedes,+1.484s,22
63,17,George Russell,Williams Mercedes,+1.488s,24
47,18,Mick Schumacher,Haas Ferrari,+1.634s,20
6,19,Nicholas Latifi,Williams Mercedes,+2.021s,23
9,20,Nikita Mazepin,Haas Ferrari,+2.611s,20
