,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:28.466,1:27.712,1:27.511,23
77,2,Valtteri Bottas,Mercedes,1:28.057,1:28.054,1:27.622,25
33,3,Max Verstappen,Red Bull Racing Honda,1:28.285,1:27.953,1:27.653,19
16,4,Charles Leclerc,Ferrari,1:28.310,1:28.459,1:28.054,24
11,5,Sergio Perez,Red Bull Racing Honda,1:28.021,1:27.946,1:28.123,23
10,6,Pierre Gasly,AlphaTauri Honda,1:28.401,1:28.314,1:28.125,26
4,7,Lando Norris,McLaren Mercedes,1:28.338,1:28.344,1:28.180,21
22,8,Yuki Tsunoda,AlphaTauri Honda,1:28.503,1:28.222,1:28.442,26
31,9,Esteban Ocon,Alpine Renault,1:28.752,1:28.574,1:28.647,22
99,10,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:28.899,1:28.616,1:28.754,21
3,11,Daniel Ricciardo,McLaren Mercedes,1:28.216,1:28.668,,17
7,12,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:28.856,1:28.885,,18
14,13,Fernando Alonso,Alpine Renault,1:28.944,1:28.920,,17
63,14,George Russell,Williams Mercedes,1:28.926,1:29.054,,17
55,15,Carlos Sainz,Ferrari,1:28.237,1:53.652,,16
6,16,Nicholas Latifi,Williams Mercedes,1:29.177,,,9
5,17,Sebastian Vettel,Aston Martin Mercedes,1:29.198,,,10
18,18,Lance Stroll,Aston Martin Mercedes,1:29.368,,,9
47,19,Mick Schumacher,Haas Ferrari,1:29.464,,,9
9,20,Nikita Mazepin,Haas Ferrari,1:30.473,,,8
