,Position,Driver,Car,Laps,Time,Points
3,1,Jody Scheckter,Tyrrell Ford,72,1:46:53.729,9
4,2,Patrick Depailler,Tyrrell Ford,72,+19.770s,6
1,3,Niki Lauda,Ferrari,72,+33.870s,4
26,4,Jacques Laffite,Ligier Matra,72,+55.820s,3
11,5,James Hunt,McLaren Ford,72,+59.480s,2
2,6,Clay Regazzoni,Ferrari,72,+60.370s,1
10,7,Ronnie Peterson,March Ford,72,+63.490s,0
8,8,Carlos Pace,Brabham Alfa Romeo,72,+71.610s,0
16,9,Tom Pryce,Shadow Ford,71,+1 lap,0
9,10,Vittorio Brambilla,March Ford,71,+1 lap,0
12,11,Jochen Mass,McLaren Ford,71,+1 lap,0
17,12,Jean-Pierre Jarier,Shadow Ford,71,+1 lap,0
19,13,Alan  Jones,Surtees Ford,71,+1 lap,0
35,14,Arturo Merzario,March Ford,70,DNF,0
18,15,Brett Lunger,Surtees Ford,70,+2 laps,0
24,NC,Harald Ertl,Hesketh Ford,54,DNF,0
34,NC,Hans-Joachim Stuck,March Ford,52,DNF,0
5,NC,Mario Andretti,Lotus Ford,45,DNF,0
22,NC,Chris Amon,Ensign Ford,38,DNF,0
21,NC,Michel Leclere,Wolf-Williams,20,DNF,0
37,NC,Larry Perkins,Boro Ford,18,DNF,0
30,NC,Emerson Fittipaldi,Fittipaldi Ford,10,DNF,0
32,NC,Loris Kessel,Brabham Ford,5,DNF,0
6,NC,Gunnar Nilsson,Lotus Ford,2,DNF,0
7,NC,Carlos Reutemann,Brabham Alfa Romeo,2,DNF,0
28,NC,John Watson,Penske Ford,0,DNF,0
